"n","lat","lng","daily","pop","recycle","food","inc","land","perCap","homeProp","bizProp","livingPop","card","delivery","growth","cluster"
"종로구",37.573,126.979,270.2,149608,59.3,29.6,36.3,3.9,1.81,68.6,31.4,35,550,53,1.9,1
"중구",37.564,126.998,365,131214,64.2,27.9,31.3,3.5,2.78,50.2,49.8,32,463,54,0.7,1
"용산구",37.532,126.99,283.9,217194,65,22.3,31.4,3.4,1.31,72.6,27.4,31,824,58,1.3,1
"성동구",37.563,127.037,435.1,281289,75.7,17.4,19.1,3.9,1.55,84.4,15.6,63,503,82,1.6,3
"광진구",37.538,127.082,293,348652,66.3,28.5,26.1,7.6,0.84,81.3,18.7,68,775,34,0.7,1
"동대문구",37.574,127.04,307.6,358603,65.2,27.9,29.9,4.1,0.86,86.9,13.1,64,706,80,1.7,1
"중랑구",37.606,127.093,293,385349,62.3,27.3,34.9,2.7,0.76,90.1,10,81,758,75,1,4
"성북구",37.606,127.017,321.7,435037,74.1,28.7,23.9,1.7,0.74,85.7,14.3,52,462,43,1.3,1
"강북구",37.64,127.025,228.4,289374,68.5,26.5,28.8,2.7,0.79,88,11.9,57,670,49,1.8,1
"도봉구",37.669,127.047,240.7,306032,69.7,30.7,23.1,2.4,0.79,81.2,18.8,63,193,65,2,1
"노원구",37.655,127.056,409.8,496552,64.1,27.1,27.8,1.2,0.83,85.4,14.6,84,773,75,1.7,4
"은평구",37.603,126.929,348.2,465350,57.1,20.9,19.5,23.4,0.75,82.6,17.4,97,195,95,1.1,4
"서대문구",37.579,126.937,272.8,318622,63.6,22.4,32,4.3,0.86,82.8,17.2,77,335,81,0.9,4
"마포구",37.566,126.902,388.3,372745,60.1,20.3,35.1,3.9,1.04,74.7,25.4,52,825,68,0.8,4
"양천구",37.517,126.867,332.7,434351,59.3,24.7,27.6,5.3,0.77,86,14.1,74,618,86,1.2,4
"강서구",37.55,126.849,1614.5,562194,45.7,7.6,8.5,2.4,2.87,76.4,23.6,135,456,44,1.8,0
"구로구",37.495,126.886,335.6,411916,58.1,23.1,35.9,5.7,0.81,75.5,24.5,102,495,49,0.7,4
"금천구",37.457,126.896,264.2,239070,66.2,20.1,10.9,22.3,1.11,77,23.2,28,216,85,1.1,1
"영등포구",37.526,126.896,432.7,397173,67.5,30.8,26.8,4.9,1.09,67.3,32.8,68,871,76,2.3,1
"동작구",37.512,126.94,326.6,387352,67.5,24.1,22.7,7.7,0.84,83.6,16.4,71,492,47,2.3,1
"관악구",37.478,126.952,409.5,495620,74.3,21,16.4,9.2,0.83,87.9,12.1,117,860,35,1.9,3
"서초구",37.483,127.033,492.5,413076,62.8,28,26.3,9,1.19,60.8,39.2,50,811,41,1.3,1
"강남구",37.517,127.047,729,563215,63.4,32.3,31.9,4,1.29,65.8,34.2,140,638,46,1.6,2
"송파구",37.515,127.105,734.7,656310,60.4,25.5,18.2,5.5,1.12,70,30,159,870,63,2,2
"강동구",37.53,127.124,354,481474,65.2,29.8,26.1,8.2,0.74,83.3,16.7,54,623,45,1.8,1
