district,year,total_population,pop_0_14,pop_15_64,pop_65p,population_density,age_0_14_ratio,age_15_64_ratio,age_65_plus_ratio,area,total_households,single_households,avg_household_size,single_household_ratio,num_businesses,num_workers,worker_density,consumption_total,working_population,working_pop_ratio,living_population,living_pop_ratio,residential_area,commercial_area,residential_ratio,commercial_ratio,total_housing,apartment_count,non_apartment_count,apartment_ratio,non_apartment_ratio,housing_density,cluster,cluster_name
강남구,2020,539231,65904,398368,74959,13651.417721518988,0.1222184926311729,0.7387705825518192,0.1390109248170079,39.5,212582,68999,2.5365788260530056,0.3245759283476493,115054,838446,1.5548920592473356,7979864832000,941486.75,1.7459803868842851,835568.1375505466,1.549555084092989,24.228249,1.946139,0.6133733924050634,0.0492693417721519,173745,126023,45985,0.7253331031108808,0.2646694868917091,4398.607594936709,3,균형형 혼합 주거지
강남구,2021,533042,64520,390444,78078,13494.73417721519,0.1210411187110959,0.7324826186304269,0.1464762626584771,39.5,214939,71986,2.479968735315601,0.3349136266568654,110007,801419,1.5034819019889614,8721153911000,956383.5,1.794199143782291,812843.8369956166,1.5249151792834643,24.227238,1.94715,0.6133477974683544,0.0492949367088607,175536,128437,45467,0.7316846686719534,0.2590180931546805,4443.949367088608,3,균형형 혼합 주거지
강남구,2022,529102,62278,385260,81564,13394.987341772152,0.117705092779842,0.7281393757725354,0.1541555314476225,39.5,216165,73579,2.4476765433812133,0.3403835033423542,107804,802908,1.517491901372514,10200735469000,935745.25,1.7685536059209754,839128.7163561644,1.5859488649753062,24.224319,1.950069,0.6132738987341773,0.0493688354430379,178493,131599,45341,0.7372782125909699,0.2540211660961494,4518.810126582279,3,균형형 혼합 주거지
강남구,2023,544873,63911,394528,86434,13794.253164556962,0.1172952229235069,0.7240733161672537,0.1586314609092394,39.5,222421,76809,2.4497372100655963,0.3453316008830101,104299,772567,1.4178845345612647,10518246679000,897607.0,1.6473692034657617,852113.5401008219,1.5638755087897949,24.22946,1.950392,0.6134040506329114,0.0493770126582278,184608,138025,45035,0.7476653232795979,0.2439493413069856,4673.620253164557,3,균형형 혼합 주거지
강남구,2024,557345,65556,400498,91291,14106.42875221463,0.1176219397321228,0.7185818478680172,0.16379621239986,39.51,229978,79274,2.4234709406986754,0.3447025367643861,101160,755251,1.355087064565036,7349591305000,1028384.75,1.845149324027308,860514.8447095628,1.5439536457841423,24.189066,1.677377,0.6122264236902051,0.0424544925335358,192220,145996,44695,0.7595255436479035,0.2325200291332848,4865.097443685143,3,균형형 혼합 주거지
강동구,2020,459970,54071,335996,69903,18705.5713704758,0.1175533186946974,0.7304737265473835,0.151972954757919,24.59,179794,50316,2.55831674026942,0.2798536102428334,40978,164769,0.3582168402287106,649802226000,51800.75,0.1126176707176555,515266.34702896175,1.1202172903210248,12.965432,0.680697,0.5272644164294429,0.0276818625457503,137876,87159,49632,0.6321549798369549,0.3599756302764803,5606.994713298089,1,신흥 아파트 주거지
강동구,2021,462664,54212,334509,73943,18815.128100854006,0.1171735860149049,0.7230063285667353,0.1598200854183597,24.59,188073,56905,2.4600235015127105,0.3025686834367506,41660,157465,0.3403441806581018,636673669000,50997.0,0.1102246987014334,513315.2091569863,1.1094773078454043,12.962557,0.683572,0.5271474989833266,0.0277987799918666,146249,94531,50661,0.6463702315913271,0.3464023685632038,5947.498983326555,1,신흥 아파트 주거지
강동구,2022,460067,52544,329332,78191,18709.516063440424,0.1142094521015417,0.7158348675301641,0.1699556803682941,24.59,190304,59752,2.4175372036320835,0.313981839582983,43157,164833,0.3582804243729717,627778027000,49302.5,0.1071637391945086,510200.9443375343,1.1089709636586285,12.945168,0.700961,0.5264403416022774,0.0285059373729158,148323,95721,51561,0.6453550696790114,0.3476264638660221,6031.842212281415,1,신흥 아파트 주거지
강동구,2023,459167,50751,325601,82815,18672.9158194388,0.1105284134095002,0.7091123708803115,0.1803592157101882,24.59,192312,62943,2.3876149174258496,0.3272962685635842,43358,162732,0.3544070022453704,630380204000,49476.0,0.1077516459153205,508275.6957879452,1.1069517099180586,12.945168,0.700961,0.5264403416022774,0.0285059373729158,151178,97890,52246,0.6475148500443186,0.3455926126817394,6147.946319642131,1,신흥 아파트 주거지
강동구,2024,476942,52012,335243,89687,19395.770638470924,0.1090530924095592,0.7029009816707272,0.1880459259197135,24.59,197160,65601,2.419060661391763,0.3327297626293365,43775,169270,0.3549068859525896,417853383000,49572.5,0.1039382147095454,512383.2503538252,1.0743093507257175,12.94857,0.697588,0.5265786905246035,0.0283687677917852,155312,101647,52620,0.6544697125785516,0.3388018955393015,6316.063440422936,1,신흥 아파트 주거지
