자치구,거주인구,주간유입인구,종사자수,유형,daily,예측값,잔차,조정지표,배출분류
종로구,149608,246821.1875,265635,상업형,270.2,130.07816188042597,140.12183811957402,2.0772126242710955,과다
중구,131214,305489.46875,399960,상업형,365.0,272.0768588372399,92.92314116276009,1.3415326888140384,과다
용산구,217194,87074.25,157564,유동집중형,283.9,168.82030337770456,115.07969662229542,1.6816697655425108,과다
성동구,281289,80325.3125,201023,혼합형,435.1,278.72155210054615,156.37844789945387,1.5610561749564376,과다
광진구,348652,-13851.90625,125475,유동집중형,293.0,296.1810502174031,-3.181050217403083,0.9892597780476904,적정
동대문구,358603,-19813.3125,145719,주거형,307.6,340.5935751744555,-32.993575174455486,0.9031291909791432,적정
중랑구,385349,-96126.4375,115477,혼합형,293.0,390.9082151410745,-97.90821514107449,0.7495365629352647,우수
성북구,435037,-56941.0625,125573,주거형,321.7,387.99335687463264,-66.29335687463265,0.8291379073893443,양호
강북구,289374,-50568.6875,75722,주거형,228.4,227.40423612911133,0.9957638708886805,1.0043788272718162,적정
도봉구,306032,-79430.0625,80087,주거형,240.7,275.25450689740535,-34.55450689740536,0.8744634291845229,양호
노원구,496552,-69171.9375,132355,주거형,409.8,443.4688582706509,-33.6688582706509,0.9240784157833634,적정
은평구,465350,-111048.03125,107935,주거형,348.2,435.4914381752741,-87.2914381752741,0.7995564768367696,우수
서대문구,318622,74771.34375,117330,주거형,272.8,168.31019654207654,104.48980345792347,1.6208168346580336,과다
마포구,372745,99998.0625,274900,혼합형,388.3,421.7622628929525,-33.46226289295248,0.920660841813044,적정
양천구,434351,-110674.90625,130568,주거형,332.7,456.1700545460204,-123.47005454602044,0.7293332753529874,우수
강서구,562194,-39942.9375,312532,혼합형,1614.5,734.7301975559992,879.7698024440008,2.1974052589242423,과다
구로구,411916,-35823.0,232534,혼합형,335.6,525.623518010569,-190.02351801056898,0.638479802559466,우수
금천구,239070,8302.390625,257675,상업형,264.2,430.23172830131745,-166.03172830131746,0.6140876709468639,우수
영등포구,397173,166566.875,442395,상업형,432.7,629.9129259115457,-197.2129259115457,0.6869203380353573,우수
동작구,387352,-56225.78125,109155,주거형,326.6,336.80475324589867,-10.204753245898644,0.969701279012389,적정
관악구,495620,-106691.4375,125747,주거형,409.5,474.52294045387856,-65.02294045387856,0.8629719768833842,양호
서초구,413076,296232.0625,493979,상업형,492.5,575.4124522554499,-82.91245225544992,0.8559077893944471,양호
강남구,563215,519895.0,755251,상업형,729.0,821.3236376531744,-92.32363765317439,0.8875916466778222,양호
송파구,656310,79719.625,418595,유동집중형,734.7,818.6666577355928,-83.96665773559278,0.8974348632105746,양호
강동구,481474,-22604.59375,169270,혼합형,354.0,443.23656181959296,-89.23656181959296,0.79867057570058,우수
