자치구,거주인구,주간유입인구,종사자수,유형,daily,예측값,잔차,조정지표,배출분류,비고
종로구,149608,246821.1875,265635,상업형,270.2,278.64739356549757,-8.447393565497578,0.9696842900362104,적정,
중구,131214,305489.46875,399960,상업형,365.0,320.1156491856991,44.88435081430089,1.140212922824849,주의,
용산구,217194,87074.25,157564,유동집중형,283.9,253.25610758203462,30.64389241796536,1.1209996185700644,주의,
성동구,281289,80325.3125,201023,혼합형,435.1,306.7782174096165,128.32178259038352,1.4182884419692865,과다,
광진구,348652,-13851.90625,125475,유동집중형,293.0,306.49026130140527,-13.490261301405269,0.9559846983583637,적정,
동대문구,358603,-19813.3125,145719,주거형,307.6,317.60501561561824,-10.00501561561822,0.9684985591420042,적정,
중랑구,385349,-96126.4375,115477,혼합형,293.0,308.1211339888009,-15.12113398880092,0.950924710054616,적정,
성북구,435037,-56941.0625,125573,주거형,321.7,353.2669086474074,-31.566908647407388,0.9106428938723099,적정,
강북구,289374,-50568.6875,75722,주거형,228.4,243.91070275574555,-15.510702755745541,0.9364082732717223,적정,
도봉구,306032,-79430.0625,80087,주거형,240.7,249.30279317363494,-8.60279317363495,0.9654925921040795,적정,
노원구,496552,-69171.9375,132355,주거형,409.8,392.9633561999066,16.836643800093384,1.0428453277753673,적정,
은평구,465350,-111048.03125,107935,주거형,348.2,355.15844183653326,-6.958441836533268,0.9804074998174026,적정,
서대문구,318622,74771.34375,117330,주거형,272.8,305.42948516070237,-32.62948516070236,0.8931685159881199,양호,
마포구,372745,99998.0625,274900,혼합형,388.3,393.6456751780298,-5.345675178029808,0.9864200840626226,적정,
양천구,434351,-110674.90625,130568,주거형,332.7,341.4511302318228,-8.751130231822799,0.9743707680045418,적정,
강서구,562194,-39942.9375,312532,혼합형,1614.5,496.4063049361647,1118.0936950638352,3.252376095842732,과다,모형 외 극단치 (회귀 적합 시 제외)
구로구,411916,-35823.0,232534,혼합형,335.6,374.57722974184543,-38.977229741845406,0.8959434086030588,양호,
금천구,239070,8302.390625,257675,상업형,264.2,278.3981053142977,-14.19810531429772,0.949000711415515,적정,
영등포구,397173,166566.875,442395,상업형,432.7,475.0554227586257,-42.35542275862571,0.9108410919452942,적정,
동작구,387352,-56225.78125,109155,주거형,326.6,317.11100192601447,9.488998073985556,1.0299232698214598,적정,
관악구,495620,-106691.4375,125747,주거형,409.5,381.43761499953223,28.06238500046777,1.073570051554832,적정,
서초구,413076,296232.0625,493979,상업형,492.5,531.7365714137217,-39.23657141372166,0.9262105081292342,적정,
강남구,563215,519895.0,755251,상업형,729.0,761.3249135876896,-32.32491358768959,0.9575412376361615,적정,
송파구,656310,79719.625,418595,유동집중형,734.7,618.4033060093504,116.2966939906496,1.1880596252648286,주의,
강동구,481474,-22604.59375,169270,혼합형,354.0,405.01356241646425,-51.013562416464254,0.8740448045440798,양호,
