"district","daily","pop","perCap"
"종로구",270.2,149608,1.81
"중구",365,131214,2.78
"용산구",283.9,217194,1.31
"성동구",435.1,281289,1.55
"광진구",293,348652,0.84
"동대문구",307.6,358603,0.86
"중랑구",293,385349,0.76
"성북구",321.7,435037,0.74
"강북구",228.4,289374,0.79
"도봉구",240.7,306032,0.79
"노원구",409.8,496552,0.83
"은평구",348.2,465350,0.75
"서대문구",272.8,318622,0.86
"마포구",388.3,372745,1.04
"양천구",332.7,434351,0.77
"강서구",1614.5,562194,2.87
"구로구",335.6,411916,0.81
"금천구",264.2,239070,1.11
"영등포구",432.7,397173,1.09
"동작구",326.6,387352,0.84
"관악구",409.5,495620,0.83
"서초구",492.5,413076,1.19
"강남구",729,563215,1.29
"송파구",734.7,656310,1.12
"강동구",354,481474,0.74
