"district","life_gen","industry_gen","construction_gen","designated_gen","total","life_pct","industry_pct","construction_pct","designated_pct"
"종로구",98887,2447,173592,5592,280518,35.3,0.9,61.9,2
"중구",133576,25473,301748,2404,463201,28.8,5.5,65.1,0.5
"용산구",103895,43457,274422,2273,424047,24.5,10.2,64.7,0.5
"성동구",159245,111943,751281,4947,1027416,15.5,10.9,73.1,0.5
"광진구",107234,1264,155354,2216,266068,40.3,0.5,58.4,0.8
"동대문구",112593,7696,218121,3440,341850,32.9,2.3,63.8,1
"중랑구",107223,662,210101,2204,320190,33.5,0.2,65.6,0.7
"성북구",117738,8729,233845,3289,363601,32.4,2.4,64.3,0.9
"강북구",83607,45,163698,1760,249110,33.6,0,65.7,0.7
"도봉구",88094,19,463209,1400,552722,15.9,0,83.8,0.3
"노원구",150001,26136,183808,3058,363003,41.3,7.2,50.6,0.8
"은평구",127441,12231,475666,3478,618816,20.6,2,76.9,0.6
"서대문구",99837,751,89839,5832,196259,50.9,0.4,45.8,3
"마포구",142121,35718,248059,2817,428715,33.2,8.3,57.9,0.7
"양천구",121756,19846,187835,3383,332820,36.6,6,56.4,1
"강서구",590910,394974,865288,6893,1858065,31.8,21.3,46.6,0.4
"구로구",122831,4102,171986,3490,302409,40.6,1.4,56.9,1.2
"금천구",96694,3077,122849,2969,225589,42.9,1.4,54.5,1.3
"영등포구",158377,16008,414191,4706,593282,26.7,2.7,69.8,0.8
"동작구",119527,2403,862392,2762,987084,12.1,0.2,87.4,0.3
"관악구",149864,749,194682,2793,348088,43.1,0.2,55.9,0.8
"서초구",180257,4951,1027905,11681,1224794,14.7,0.4,83.9,1
"강남구",266815,151389,631516,18614,1068334,25,14.2,59.1,1.7
"송파구",268890,77516,376512,9108,732026,36.7,10.6,51.4,1.2
"강동구",129564,92905,300538,4468,527475,24.6,17.6,57,0.8
