district,year,living_waste,living_recycle,living_incineration,living_landfill,industrial_waste,construction_waste,designated_waste,per_capita_living_waste,total_waste,total_recycle,total_incineration,total_landfill,household_waste,biz_nonbiz_waste,recycle_rate,incineration_rate,landfill_rate,total_recycle_rate,total_incineration_rate,total_landfill_rate
종로구,2020,96692,56165,30536,9466,536,244977,6916,1.66,349122,301317,35278,11765,33285.2,63406.8,0.5809,0.3158,0.0979,0.8631,0.101,0.0337
종로구,2021,83878,45404,30427,7518,575,334984,7666,1.49,427101,381765,35832,8601,28912.1,54965.9,0.5413,0.3628,0.0896,0.8939,0.0839,0.0201
종로구,2022,104369,62003,35421,6635,964,275856,6828,1.88,388017,338310,41873,7126,35150.6,69218.4,0.5941,0.3394,0.0636,0.8719,0.1079,0.0184
종로구,2023,97419,54632,35774,5645,5548,216598,6669,1.77,326233,273087,40532,6173,33137.9,64281.1,0.5608,0.3672,0.0579,0.8371,0.1242,0.0189
종로구,2024,98887,58688,35903,3869,2447,173592,5592,1.81,280518,235251,40086,4061,33862.9,65024.1,0.5935,0.3631,0.0391,0.8386,0.1429,0.0145
중구,2020,130842,72461,47006,11375,3891,430202,3734,2.66,568669,505466,49978,13102,30726.7,100115.3,0.5538,0.3593,0.0869,0.8889,0.0879,0.023
중구,2021,108816,50113,48862,9611,703,311695,4244,2.26,425458,362298,51890,11014,26185.1,82630.9,0.4605,0.449,0.0883,0.8515,0.122,0.0259
중구,2022,118766,66571,43571,8318,572,319051,3446,2.49,441836,387027,45657,8793,28235.8,90530.2,0.5605,0.3669,0.07,0.876,0.1033,0.0199
중구,2023,132481,78731,45292,6595,299,213607,2752,2.75,349138,293220,47049,6946,29733.3,102747.7,0.5943,0.3419,0.0498,0.8398,0.1348,0.0199
중구,2024,133576,85767,41851,4641,25473,301748,2404,2.78,463201,413582,43340,4813,30935.0,102641.0,0.6421,0.3133,0.0347,0.8929,0.0936,0.0104
용산구,2020,110255,72190,28417,9575,5023,267005,2976,1.23,385259,340570,30149,14352,65993.3,44261.7,0.6548,0.2577,0.0868,0.884,0.0783,0.0373
용산구,2021,107173,68334,29489,9113,204139,257038,2331,1.24,570680,528210,31323,10742,63624.1,43548.9,0.6376,0.2752,0.085,0.9256,0.0549,0.0188
용산구,2022,216363,178471,31172,6511,365558,365184,2603,2.54,949707,908379,34096,6981,127685.9,88677.1,0.8249,0.1441,0.0301,0.9565,0.0359,0.0074
용산구,2023,208742,171993,31658,4979,240879,409386,2818,2.52,861824,821744,34370,5124,119701.9,89040.1,0.824,0.1517,0.0239,0.9535,0.0399,0.0059
용산구,2024,103895,67515,32618,3506,43457,274422,2273,1.31,424047,385534,33855,3752,58600.9,45294.1,0.6498,0.314,0.0337,0.9092,0.0798,0.0088
성동구,2020,110224,73914,22839,9739,80560,660116,5207,1.0,856107,677491,29498,100007,66043.6,44180.4,0.6706,0.2072,0.0884,0.7914,0.0345,0.1168
성동구,2021,99225,68206,20456,10421,122136,1107885,6068,0.93,1335314,1172435,26036,100078,58006.4,41218.6,0.6874,0.2062,0.105,0.878,0.0195,0.0749
성동구,2022,104584,66623,22459,15149,189274,787883,5293,0.99,1087034,1002565,29292,33898,60357.6,44226.4,0.637,0.2147,0.1449,0.9223,0.0269,0.0312
성동구,2023,106823,68206,30416,8083,96361,742208,5088,1.03,950481,865243,37245,12525,61891.2,44931.8,0.6385,0.2847,0.0757,0.9103,0.0392,0.0132
성동구,2024,159245,120565,30444,6175,111943,751281,4947,1.55,1027416,949977,35878,6383,91807.8,67437.2,0.7571,0.1912,0.0388,0.9246,0.0349,0.0062
광진구,2020,125579,87415,30325,7823,12796,439375,2310,0.95,580059,536939,31764,11043,90528.0,35051.0,0.6961,0.2415,0.0623,0.9257,0.0548,0.019
광진구,2021,91428,62681,18288,10459,2458,347478,2742,0.71,444106,412441,20122,11402,66180.4,25247.6,0.6856,0.2,0.1144,0.9287,0.0453,0.0257
광진구,2022,120644,95246,16497,8595,2278,223084,2775,0.94,348781,321031,18399,8974,87105.4,33538.6,0.7895,0.1367,0.0712,0.9204,0.0528,0.0257
광진구,2023,104709,67412,29242,8048,2011,112888,2412,0.82,222019,182836,30846,8239,75800.2,28908.8,0.6438,0.2793,0.0769,0.8235,0.1389,0.0371
광진구,2024,107234,71082,27968,8176,1264,155354,2216,0.84,266068,227553,29986,8265,77819.8,29414.2,0.6629,0.2608,0.0762,0.8552,0.1127,0.0311
동대문구,2020,161082,121098,31697,8277,9323,1010620,3700,1.23,1184725,1141166,33794,9512,112441.1,48640.9,0.7518,0.1968,0.0514,0.9632,0.0285,0.008
동대문구,2021,116867,75504,31695,9560,8195,542574,3629,0.91,671264,626044,34094,10995,81505.4,35361.6,0.6461,0.2712,0.0818,0.9326,0.0508,0.0164
동대문구,2022,108075,68325,30065,9484,14557,416130,3246,0.84,542009,495337,34934,9663,75401.2,32673.8,0.6322,0.2782,0.0878,0.9139,0.0645,0.0178
동대문구,2023,113337,72494,31512,7144,11904,196638,3303,0.86,325181,278938,36532,7427,79405.9,33931.1,0.6396,0.278,0.063,0.8578,0.1123,0.0228
동대문구,2024,112593,73460,33612,4632,7696,218121,3440,0.86,341850,298568,37378,4864,78726.1,33866.9,0.6524,0.2985,0.0411,0.8734,0.1093,0.0142
중랑구,2020,123561,82943,33840,6778,4022,312042,1765,0.84,441390,396827,35064,9389,96423.4,27137.6,0.6713,0.2739,0.0549,0.899,0.0794,0.0213
중랑구,2021,105213,64188,33476,7527,6204,381425,2067,0.74,494909,449999,34963,9920,81428.1,23784.9,0.6101,0.3182,0.0715,0.9093,0.0706,0.02
중랑구,2022,104375,63404,33253,6819,3798,207985,1895,0.73,318053,274838,34833,7475,80426.9,23948.1,0.6075,0.3186,0.0653,0.8641,0.1095,0.0235
중랑구,2023,96847,57284,35055,4233,3464,101667,2188,0.68,204166,162673,36621,4509,74784.7,22062.3,0.5915,0.362,0.0437,0.7968,0.1794,0.0221
중랑구,2024,107223,66826,37416,2942,662,210101,2204,0.76,320191,277911,38751,3062,82196.7,25026.3,0.6232,0.349,0.0274,0.868,0.121,0.0096
성북구,2020,132342,90004,37020,5206,2406,299472,3186,0.81,437406,391237,39448,6391,103504.1,28837.9,0.6801,0.2797,0.0393,0.8944,0.0902,0.0146
성북구,2021,136000,100565,31140,3620,3657,474185,3239,0.85,617081,578489,33596,4240,105587.8,30412.2,0.7394,0.229,0.0266,0.9375,0.0544,0.0069
성북구,2022,125909,85083,29930,3031,620,457253,3533,0.78,587314,543497,32556,3314,97443.8,28465.2,0.6757,0.2377,0.0241,0.9254,0.0554,0.0056
성북구,2023,123724,83204,38734,1421,5042,187081,3347,0.77,319194,275854,41316,1558,95430.1,28293.9,0.6725,0.3131,0.0115,0.8642,0.1294,0.0049
성북구,2024,117738,87203,28119,1972,8729,233845,3289,0.74,363601,330333,30494,2223,90715.8,27022.2,0.7407,0.2388,0.0167,0.9085,0.0839,0.0061
강북구,2020,88989,53419,32484,3086,702,215768,1351,0.78,306811,269137,33206,3741,70052.0,18937.0,0.6003,0.365,0.0347,0.8772,0.1082,0.0122
