district,year,population,workers
종로구,2020,149384,284570
종로구,2021,144683,275063
종로구,2022,141379,278403
종로구,2023,139417,270442
종로구,2024,138336,265635
중구,2020,125240,408064
중구,2021,122499,386564
중구,2022,120437,386148
중구,2023,121312,419211
중구,2024,120544,399960
용산구,2020,230040,154288
용산구,2021,222953,152605
용산구,2022,218650,151851
용산구,2023,213151,158552
용산구,2024,203854,157564
성동구,2020,293556,196377
성동구,2021,285990,203221
성동구,2022,281000,205900
성동구,2023,277361,201359
성동구,2024,273669,201023
광진구,2020,346682,134230
광진구,2021,339996,129707
광진구,2022,337416,129917
광진구,2023,335554,127974
광진구,2024,331963,125475
동대문구,2020,342837,148308
동대문구,2021,337400,146383
동대문구,2022,336644,145879
동대문구,2023,341149,145777
동대문구,2024,338735,145719
중랑구,2020,394702,111086
중랑구,2021,387350,113144
중랑구,2022,385318,114733
중랑구,2023,382155,112740
중랑구,2024,379274,115477
성북구,2020,437153,121798
성북구,2021,430528,124004
성북구,2022,430397,125727
성북구,2023,425602,126186
성북구,2024,421560,125573
강북구,2020,308055,83276
강북구,2021,299182,80222
강북구,2022,293660,79859
강북구,2023,288113,77797
강북구,2024,283597,75722
도봉구,2020,325257,79429
도봉구,2021,317366,79097
도봉구,2022,311694,77618
도봉구,2023,306948,80251
도봉구,2024,303228,80087
노원구,2020,523037,127454
노원구,2021,510956,133398
노원구,2022,503734,129198
노원구,2023,498213,130553
노원구,2024,491247,132355
은평구,2020,479835,108362
은평구,2021,473307,109031
은평구,2022,466746,107697
은평구,2023,466770,106043
은평구,2024,460919,107935
서대문구,2020,312173,120347
서대문구,2021,304819,118256
서대문구,2022,306337,119608
서대문구,2023,306231,118280
서대문구,2024,302853,117330
마포구,2020,371890,285083
마포구,2021,368905,279788
마포구,2022,364638,274678
마포구,2023,363697,283983
마포구,2024,361417,274900
양천구,2020,454251,130371
양천구,2021,447302,133776
양천구,2022,440881,133815
양천구,2023,436028,131733
양천구,2024,430976,130568
강서구,2020,580185,280238
강서구,2021,574315,290473
강서구,2022,569166,299324
강서구,2023,563058,306659
강서구,2024,556171,312532
구로구,2020,404408,239168
구로구,2021,396754,240689
구로구,2022,395315,242640
구로구,2023,392405,235229
구로구,2024,388169,232534
금천구,2020,231733,262665
금천구,2021,230811,255449
금천구,2022,229642,256316
금천구,2023,227481,256009
금천구,2024,225159,257675
영등포구,2020,379480,434698
영등포구,2021,376837,435017
영등포구,2022,375675,433237
영등포구,2023,374794,435180
영등포구,2024,373773,442395
동작구,2020,391220,110642
동작구,2021,385483,109281
동작구,2022,380596,107069
동작구,2023,378769,106667
동작구,2024,375799,109155
관악구,2020,495060,135681
관악구,2021,485699,128417
관악구,2022,486752,126395
관악구,2023,481956,126925
관악구,2024,477812,125747
서초구,2020,425126,497678
서초구,2021,412279,487976
서초구,2022,404325,492367
서초구,2023,407664,495335
서초구,2024,408376,493979
강남구,2020,539231,838446
강남구,2021,533042,801419
강남구,2022,529102,802908
강남구,2023,544873,772567
강남구,2024,557345,755251
송파구,2020,667960,411898
송파구,2021,658338,400781
송파구,2022,658801,409305
송파구,2023,654166,412433
송파구,2024,650110,418595
강동구,2020,459970,164769
강동구,2021,462664,157465
강동구,2022,460067,164833
강동구,2023,459167,162732
강동구,2024,476942,169270
