facility,year,month,in_ton,in_avg,inc_ton,inc_avg,util_rate,,,,,
강남,2024,total,243043 ,882 ,243237 ,763 ,89 ,,,,,
강남,2024,1,23092 ,888 ,22102 ,790 ,88 ,,,,,
강남,2024,2,21761 ,946 ,23016 ,794 ,88 ,,,,,
강남,2024,3,22882 ,915 ,24559 ,792 ,88 ,,,,,
강남,2024,4,11635 ,648 ,10835 ,361 ,88 ,,,,,
강남,2024,5,1269 ,634 ,306 ,919 ,102 ,,,,,
강남,2024,6,20513 ,855 ,21159 ,742 ,82 ,,,,,
강남,2024,7,24365 ,902 ,23660 ,787 ,87 ,,,,,
강남,2024,8,24389 ,976 ,23505 ,766 ,85 ,,,,,
강남,2024,9,25589 ,1113 ,23338 ,804 ,89 ,,,,,
강남,2024,10,24256 ,1011 ,23625 ,808 ,90 ,,,,,
강남,2024,11,21423 ,824 ,23084 ,795 ,88 ,,,,,
강남,2024,12,21869 ,875 ,24049 ,798 ,89 ,,,,,
노원,2024,total,159274 ,573 ,161216 ,543 ,68 ,,,,,
노원,2024,1,15263 ,587 ,14592 ,538 ,67 ,,,,,
노원,2024,2,14032 ,610 ,14101 ,535 ,67 ,,,,,
노원,2024,3,13896 ,556 ,16453 ,560 ,70 ,,,,,
노원,2024,4,14415 ,577 ,14969 ,575 ,72 ,,,,,
노원,2024,5,15404 ,642 ,11211 ,594 ,74 ,,,,,
노원,2024,6,13508 ,563 ,16460 ,560 ,70 ,,,,,
노원,2024,7,15299 ,567 ,15859 ,554 ,69 ,,,,,
노원,2024,8,13449 ,517 ,16062 ,546 ,68 ,,,,,
노원,2024,9,13395 ,582 ,13811 ,469 ,59 ,,,,,
노원,2024,10,8893 ,593 ,10564 ,528 ,66 ,,,,,
노원,2024,11,7996 ,533 ,2051 ,583 ,73 ,,,,,
노원,2024,12,13724 ,549 ,15081 ,529 ,66 ,,,,,
마포,2024,total,172431 ,614 ,170881 ,574 ,76 ,,,,,
마포,2024,1,17120 ,634 ,15863 ,583 ,78 ,,,,,
마포,2024,2,15432 ,671 ,13934 ,562 ,75 ,,,,,
마포,2024,3,16448 ,633 ,18124 ,599 ,80 ,,,,,
마포,2024,4,14852 ,571 ,13521 ,590 ,79 ,,,,,
마포,2024,5,13368 ,495 ,13260 ,598 ,80 ,,,,,
마포,2024,6,15808 ,632 ,17629 ,588 ,78 ,,,,,
마포,2024,7,18070 ,669 ,16702 ,539 ,72 ,,,,,
마포,2024,8,15875 ,588 ,16401 ,543 ,72 ,,,,,
마포,2024,9,15480 ,673 ,14642 ,535 ,71 ,,,,,
마포,2024,10,7329 ,611 ,7703 ,589 ,79 ,,,,,
마포,2024,11,7509 ,626 ,5341 ,595 ,79 ,,,,,
마포,2024,12,15141 ,582 ,17760 ,594 ,79 ,,,,,
양천,2024,total,103697 ,402 ,103032 ,336 ,84 ,,,,,
양천,2024,1,10490 ,403 ,9564 ,336 ,84 ,,,,,
양천,2024,2,9471 ,412 ,9567 ,345 ,86 ,,,,,
양천,2024,3,10080 ,325 ,10539 ,340 ,85 ,,,,,
양천,2024,4,7556 ,420 ,7745 ,323 ,81 ,,,,,
양천,2024,5,8710 ,415 ,8535 ,336 ,84 ,,,,,
양천,2024,6,9927 ,414 ,10078 ,336 ,84 ,,,,,
양천,2024,7,8916 ,425 ,8963 ,349 ,87 ,,,,,
양천,2024,8,10459 ,402 ,10291 ,341 ,85 ,,,,,
양천,2024,9,9490 ,413 ,10260 ,342 ,86 ,,,,,
양천,2024,10,1699 ,425 ,3170 ,300 ,75 ,,,,,
양천,2024,11,6553 ,410 ,4244 ,329 ,82 ,,,,,
양천,2024,12,10345 ,414 ,10075 ,325 ,81 ,,,,,
