year,gu,subway_boarding_total,subway_alighting_total,subway_passenger_total,subway_station_count
2020,None,56052771,53778006,109830777,21
2020,강남구,141889893,135808690,277698583,21
2020,강동구,45649227,42378986,88028213,13
2020,강북구,24027101,23419822,47446923,3
2020,강서구,37440919,36029054,73469973,9
2020,관악구,50364100,48316963,98681063,4
2020,광진구,57416280,56946210,114362490,11
2020,구로구,54751959,54543595,109295554,8
2020,금천구,12523372,12540098,25063470,1
2020,노원구,53915228,52563989,106479217,13
2020,도봉구,20107059,20242555,40349614,3
2020,동대문구,28362968,28008449,56371417,7
2020,동작구,59865519,59475081,119340600,12
2020,마포구,65765576,67940562,133706138,14
2020,서대문구,24967492,25391432,50358924,6
2020,서초구,70991994,71007871,141999865,12
2020,성동구,40322819,40657185,80980004,13
2020,성북구,31702567,30339119,62041686,9
2020,송파구,87856116,79876142,167732258,28
2020,양천구,20770443,21013550,41783993,5
2020,영등포구,38621067,40211151,78832218,10
2020,용산구,22523861,23266963,45790824,9
2020,은평구,49252991,47772991,97025982,12
2020,종로구,85027876,86091041,171118917,16
2020,중구,101545183,104371508,205916691,23
2020,중랑구,25868372,24884233,50752605,7
2021,None,63562310,61813279,125375589,24
2021,강남구,142034736,133973893,276008629,21
2021,강동구,46928932,43849635,90778567,14
2021,강북구,23528252,23089646,46617898,3
2021,강서구,38679668,37612080,76291748,9
2021,관악구,49432394,47896227,97328621,4
2021,광진구,57149087,56461658,113610745,11
2021,구로구,54150523,54006966,108157489,8
2021,금천구,12885028,12750829,25635857,1
2021,노원구,54277482,53052460,107329942,13
2021,도봉구,19698887,20020877,39719764,3
2021,동대문구,28164329,27821063,55985392,7
2021,동작구,58996503,58663117,117659620,12
2021,마포구,66370475,67732518,134102993,14
2021,서대문구,24472247,24798146,49270393,6
2021,서초구,70478191,70232801,140710992,12
2021,성동구,42102492,42566051,84668543,13
2021,성북구,31952195,30784534,62736729,9
2021,송파구,90428950,81932597,172361547,28
2021,양천구,20978198,21335136,42313334,5
2021,영등포구,40666734,42469766,83136500,10
2021,용산구,23357499,24002913,47360412,9
2021,은평구,49437437,48316975,97754412,12
2021,종로구,83801989,84090644,167892633,16
2021,중구,98876097,101180153,200056250,23
2021,중랑구,26095349,25383167,51478516,7
2022,None,44428242,43002328,87430570,15
2022,강남구,156496077,147144990,303641067,21
2022,강동구,51160654,47680614,98841268,14
2022,강북구,25222336,24804115,50026451,3
2022,강서구,42365959,41127395,83493354,9
2022,관악구,52578317,50741872,103320189,4
2022,광진구,65133578,64186025,129319603,11
2022,구로구,57637367,57686514,115323881,8
2022,금천구,13017955,12908623,25926578,1
2022,노원구,58460075,57025323,115485398,13
2022,도봉구,21072947,21377636,42450583,3
2022,동대문구,30386462,29887675,60274137,7
2022,동작구,65097783,64670543,129768326,12
2022,마포구,76732323,79291268,156023591,14
2022,서대문구,28377779,28784390,57162169,6
2022,서초구,78820282,77955326,156775608,12
2022,성동구,47982400,48762247,96744647,13
2022,성북구,36770726,35488321,72259047,9
2022,송파구,104821203,94676215,199497418,28
2022,양천구,22624445,22737920,45362365,5
2022,영등포구,45177333,47629144,92806477,10
2022,용산구,28526087,29508043,58034130,9
2022,은평구,53310151,52002300,105312451,12
2022,종로구,97861532,98326938,196188470,16
2022,중구,116989608,120776475,237766083,23
2022,중랑구,27757386,26924486,54681872,7
2023,None,49250126,47680946,96931072,15
2023,강남구,168679410,156846425,325525835,21
2023,강동구,55344735,51348165,106692900,14
2023,강북구,26743626,26376581,53120207,3
2023,강서구,45853193,44396984,90250177,9
2023,관악구,53754891,51673938,105428829,4
2023,광진구,69872134,68634242,138506376,11
2023,구로구,61611464,61205088,122816552,8
2023,금천구,13779320,13741103,27520423,1
2023,노원구,62703946,61247277,123951223,13
2023,도봉구,22245414,22547976,44793390,3
2023,동대문구,32691018,32018535,64709553,7
2023,동작구,69185908,69144745,138330653,12
2023,마포구,85906461,89149488,175055949,14
2023,서대문구,32057307,32616067,64673374,6
2023,서초구,85191186,83836941,169028127,12
2023,성동구,52350439,53530336,105880775,13
2023,성북구,40254872,38833269,79088141,9
2023,송파구,115714444,103916178,219630622,28
2023,양천구,23813306,24054776,47868082,5
2023,영등포구,48884348,51325400,100209748,10
2023,용산구,32050487,33248566,65299053,9
2023,은평구,56692733,55435780,112128513,12
2023,종로구,110314704,110979413,221294117,16
2023,중구,139809947,144310375,284120322,23
2023,중랑구,29421216,28609049,58030265,7
