"자치구별(1)","자치구별(2)","성별(1)",시점,합계
"합계","소계","계",2020,1390701
"합계","소계","계",2021,1489893
"합계","소계","계",2022,1564187
"합계","소계","계",2023,1627480
"합계","소계","계",2024,1660813
"합계","종로구","계",2020,25983
"합계","종로구","계",2021,27308
"합계","종로구","계",2022,28424
"합계","종로구","계",2023,29334
"합계","종로구","계",2024,29779
"합계","중구","계",2020,22818
"합계","중구","계",2021,24544
"합계","중구","계",2022,25247
"합계","중구","계",2023,28293
"합계","중구","계",2024,28968
"합계","용산구","계",2020,36881
"합계","용산구","계",2021,39270
"합계","용산구","계",2022,41437
"합계","용산구","계",2023,42482
"합계","용산구","계",2024,40445
"합계","성동구","계",2020,42585
"합계","성동구","계",2021,44946
"합계","성동구","계",2022,46548
"합계","성동구","계",2023,48111
"합계","성동구","계",2024,48442
"합계","광진구","계",2020,62301
"합계","광진구","계",2021,66140
"합계","광진구","계",2022,69391
"합계","광진구","계",2023,71959
"합계","광진구","계",2024,72933
"합계","동대문구","계",2020,60925
"합계","동대문구","계",2021,65290
"합계","동대문구","계",2022,68169
"합계","동대문구","계",2023,70959
"합계","동대문구","계",2024,72355
"합계","중랑구","계",2020,56605
"합계","중랑구","계",2021,60487
"합계","중랑구","계",2022,64334
"합계","중랑구","계",2023,66906
"합계","중랑구","계",2024,69149
"합계","성북구","계",2020,61510
"합계","성북구","계",2021,64985
"합계","성북구","계",2022,67222
"합계","성북구","계",2023,69148
"합계","성북구","계",2024,70230
"합계","강북구","계",2020,45685
"합계","강북구","계",2021,48428
"합계","강북구","계",2022,51134
"합계","강북구","계",2023,52659
"합계","강북구","계",2024,53705
"합계","도봉구","계",2020,34884
"합계","도봉구","계",2021,37853
"합계","도봉구","계",2022,39744
"합계","도봉구","계",2023,41525
"합계","도봉구","계",2024,43347
"합계","노원구","계",2020,56438
"합계","노원구","계",2021,60647
"합계","노원구","계",2022,63022
"합계","노원구","계",2023,65275
"합계","노원구","계",2024,67182
"합계","은평구","계",2020,57853
"합계","은평구","계",2021,62447
"합계","은평구","계",2022,65769
"합계","은평구","계",2023,68850
"합계","은평구","계",2024,70568
"합계","서대문구","계",2020,49863
"합계","서대문구","계",2021,52792
"합계","서대문구","계",2022,54288
"합계","서대문구","계",2023,56170
"합계","서대문구","계",2024,56770
"합계","마포구","계",2020,63172
"합계","마포구","계",2021,67162
"합계","마포구","계",2022,70030
"합계","마포구","계",2023,72112
"합계","마포구","계",2024,73327
"합계","양천구","계",2020,39436
"합계","양천구","계",2021,42973
"합계","양천구","계",2022,45502
"합계","양천구","계",2023,47106
"합계","양천구","계",2024,47886
"합계","강서구","계",2020,86172
"합계","강서구","계",2021,94436
"합계","강서구","계",2022,100695
"합계","강서구","계",2023,104509
"합계","강서구","계",2024,106748
"합계","구로구","계",2020,50971
"합계","구로구","계",2021,54980
"합계","구로구","계",2022,58977
"합계","구로구","계",2023,61318
"합계","구로구","계",2024,62632
"합계","금천구","계",2020,42334
"합계","금천구","계",2021,46827
"합계","금천구","계",2022,50528
"합계","금천구","계",2023,52033
"합계","금천구","계",2024,53858
"합계","영등포구","계",2020,64000
"합계","영등포구","계",2021,69806
"합계","영등포구","계",2022,73962
"합계","영등포구","계",2023,77895
"합계","영등포구","계",2024,79698
"합계","동작구","계",2020,64101
"합계","동작구","계",2021,68231
"합계","동작구","계",2022,71782
"합계","동작구","계",2023,74443
"합계","동작구","계",2024,75148
"합계","관악구","계",2020,129233
"합계","관악구","계",2021,136255
"합계","관악구","계",2022,145433
"합계","관악구","계",2023,150745
"합계","관악구","계",2024,153605
"합계","서초구","계",2020,43942
"합계","서초구","계",2021,45933
"합계","서초구","계",2022,46745
"합계","서초구","계",2023,48756
"합계","서초구","계",2024,49443
"합계","강남구","계",2020,68999
"합계","강남구","계",2021,71986
"합계","강남구","계",2022,73579
"합계","강남구","계",2023,76809
"합계","강남구","계",2024,79274
"합계","송파구","계",2020,73694
"합계","송파구","계",2021,79262
"합계","송파구","계",2022,82473
"합계","송파구","계",2023,87140
"합계","송파구","계",2024,89720
"합계","강동구","계",2020,50316
"합계","강동구","계",2021,56905
"합계","강동구","계",2022,59752
"합계","강동구","계",2023,62943
"합계","강동구","계",2024,65601
