"동별(1)","동별(2)",시점,총가구,총가구
"동별(1)","동별(2)",시점,가구수 (가구),가구원수 (명)
"합계","소계",2020,4126524,9586195
"합계","소계",2021,4191171,9472127
"합계","소계",2022,4252134,9417469
"합계","소계",2023,4298420,9384512
"합계","소계",2024,4319073,9335444
"합계","종로구",2020,68069,151291
"합계","종로구",2021,68541,148857
"합계","종로구",2022,69831,147512
"합계","종로구",2023,70217,146179
"합계","종로구",2024,70241,144486
"합계","중구",2020,59817,128744
"합계","중구",2021,61073,126310
"합계","중구",2022,61620,125257
"합계","중구",2023,64325,127576
"합계","중구",2024,64816,126899
"합계","용산구",2020,101431,225882
"합계","용산구",2021,102638,221688
"합계","용산구",2022,103974,219289
"합계","용산구",2023,103826,214791
"합계","용산구",2024,98398,203401
"합계","성동구",2020,126658,291918
"합계","성동구",2021,127440,286469
"합계","성동구",2022,127790,282131
"합계","성동구",2023,127950,277683
"합계","성동구",2024,127631,274688
"합계","광진구",2020,160944,353967
"합계","광진구",2021,162785,347099
"합계","광진구",2022,166046,346519
"합계","광진구",2023,168848,348160
"합계","광진구",2024,169231,345130
"합계","동대문구",2020,158899,351057
"합계","동대문구",2021,162315,348201
"합계","동대문구",2022,166787,350709
"합계","동대문구",2023,171039,355999
"합계","동대문구",2024,172439,355789
"합계","중랑구",2020,167617,385663
"합계","중랑구",2021,170021,380307
"합계","중랑구",2022,173424,379127
"합계","중랑구",2023,174863,376621
"합계","중랑구",2024,176740,375066
"합계","성북구",2020,184871,438833
"합계","성북구",2021,187246,435509
"합계","성북구",2022,190541,436113
"합계","성북구",2023,191164,432874
"합계","성북구",2024,191165,429210
"합계","강북구",2020,131884,299535
"합계","강북구",2021,132458,292611
"합계","강북구",2022,133870,287788
"합계","강북구",2023,134438,284155
"합계","강북구",2024,134478,280470
"합계","도봉구",2020,128378,315979
"합계","도봉구",2021,129498,309200
"합계","도봉구",2022,130115,304137
"합계","도봉구",2023,130370,299931
"합계","도봉구",2024,131159,296997
"합계","노원구",2020,204210,511982
"합계","노원구",2021,205936,503929
"합계","노원구",2022,206796,496423
"합계","노원구",2023,207589,492979
"합계","노원구",2024,207675,486446
"합계","은평구",2020,192581,463102
"합계","은평구",2021,195512,457385
"합계","은평구",2022,198082,454649
"합계","은평구",2023,200425,452988
"합계","은평구",2024,200904,448142
"합계","서대문구",2020,138528,317209
"합계","서대문구",2021,140409,314547
"합계","서대문구",2022,143327,318308
"합계","서대문구",2023,145742,320168
"합계","서대문구",2024,145416,316345
"합계","마포구",2020,166007,365612
"합계","마포구",2021,169539,365192
"합계","마포구",2022,171619,362408
"합계","마포구",2023,173258,361380
"합계","마포구",2024,173531,358927
"합계","양천구",2020,168184,439068
"합계","양천구",2021,170289,433373
"합계","양천구",2022,171291,426981
"합계","양천구",2023,171469,422248
"합계","양천구",2024,171027,417397
"합계","강서구",2020,247202,564854
"합계","강서구",2021,253018,559837
"합계","강서구",2022,257613,555999
"합계","강서구",2023,258700,549557
"합계","강서구",2024,259211,543974
"합계","구로구",2020,182636,435442
"합계","구로구",2021,184821,426220
"합계","구로구",2022,188054,424038
"합계","구로구",2023,190000,423397
"합계","구로구",2024,190182,418832
"합계","금천구",2020,115254,249419
"합계","금천구",2021,118852,247398
"합계","금천구",2022,121987,247185
"합계","금천구",2023,123220,245860
"합계","금천구",2024,124012,243662
"합계","영등포구",2020,178217,403619
"합계","영등포구",2021,184045,402984
"합계","영등포구",2022,187482,401805
"합계","영등포구",2023,190452,400544
"합계","영등포구",2024,192656,400799
"합계","동작구",2020,174572,392772
"합계","동작구",2021,176665,388094
"합계","동작구",2022,179771,386605
"합계","동작구",2023,181307,384089
"합계","동작구",2024,181275,381172
"합계","관악구",2020,259822,502641
"합계","관악구",2021,263380,495777
"합계","관악구",2022,271474,496743
"합계","관악구",2023,275312,493677
"합계","관악구",2024,277394,490493
"합계","서초구",2020,158582,401749
"합계","서초구",2021,158408,392302
"합계","서초구",2022,156869,383181
"합계","서초구",2023,159582,385267
"합계","서초구",2024,160651,386254
"합계","강남구",2020,212582,508135
"합계","강남구",2021,214939,503019
"합계","강남구",2022,216165,500149
"합계","강남구",2023,222421,511084
"합계","강남구",2024,229978,528194
"합계","송파구",2020,259785,643288
"합계","송파구",2021,263270,634720
"합계","송파구",2022,267302,635758
"합계","송파구",2023,269591,630744
"합계","송파구",2024,271703,628648
"합계","강동구",2020,179794,444434
"합계","강동구",2021,188073,451099
"합계","강동구",2022,190304,448655
"합계","강동구",2023,192312,446561
"합계","강동구",2024,197160,454023
