"동별(1)","동별(2)",시점,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
"동별(1)","동별(2)",시점,소계,단독주택,아파트,연립주택,다세대주택
"서울시","소계",2020,3015371,307075,1772670,110562,796066
"서울시","소계",2021,3068494,299473,1818214,110239,812403
"서울시","소계",2022,3111323,293489,1851242,110418,828773
"서울시","소계",2023,3155331,291582,1886515,111038,838895
"서울시","소계",2024,3170332,286542,1906060,110623,839901
"서울시","종로구",2020,46859,12259,15688,5460,12540
"서울시","종로구",2021,46885,11987,15775,5490,12725
"서울시","종로구",2022,46810,11823,15923,5532,12651
"서울시","종로구",2023,47025,11620,16300,5544,12695
"서울시","종로구",2024,47156,11556,16345,5548,12849
"서울시","중구",2020,42234,5967,26102,1944,7352
"서울시","중구",2021,42319,5865,26327,1896,7370
"서울시","중구",2022,42401,5751,26366,1879,7572
"서울시","중구",2023,44191,5735,28126,1873,7625
"서울시","중구",2024,44572,5688,28409,1871,7777
"서울시","용산구",2020,74542,14064,37676,3969,18124
"서울시","용산구",2021,75739,13716,38631,3911,18785
"서울시","용산구",2022,77116,13450,39805,3887,19309
"서울시","용산구",2023,77734,13370,39806,3921,19978
"서울시","용산구",2024,78063,13226,39915,3998,20266
"서울시","성동구",2020,91329,10525,67584,1990,10158
"서울시","성동구",2021,91033,9916,68090,1976,10031
"서울시","성동구",2022,90740,9410,68125,2058,10177
"서울시","성동구",2023,91252,9345,68191,2017,10735
"서울시","성동구",2024,91231,9295,68086,1998,10896
"서울시","광진구",2020,89832,15332,32135,4054,36858
"서울시","광진구",2021,91432,15096,32571,4119,38226
"서울시","광진구",2022,93555,14901,33862,4158,39240
"서울시","광진구",2023,95286,14861,35072,4173,39797
"서울시","광진구",2024,95631,14749,35199,4212,40082
"서울시","동대문구",2020,103520,17120,65033,3274,16511
"서울시","동대문구",2021,104287,16388,66512,3287,16569
"서울시","동대문구",2022,106441,16110,68445,3298,17090
"서울시","동대문구",2023,110169,16085,71810,3301,17465
"서울시","동대문구",2024,110761,16011,72215,3378,17662
"서울시","중랑구",2020,112364,18560,55499,4466,32303
"서울시","중랑구",2021,114488,17995,56651,4423,33916
"서울시","중랑구",2022,118357,17751,59121,4466,35535
"서울시","중랑구",2023,119961,17698,59984,4465,36336
"서울시","중랑구",2024,120876,17628,60832,4247,36690
"서울시","성북구",2020,138621,22520,79206,6262,29213
"서울시","성북구",2021,140138,21661,80967,6230,29900
"서울시","성북구",2022,142602,20892,83701,6146,30510
"서울시","성북구",2023,143240,20848,83728,6362,30957
"서울시","성북구",2024,143758,20723,84332,6391,30976
"서울시","강북구",2020,97452,17557,34733,4789,39331
"서울시","강북구",2021,97840,17261,34875,4834,39859
"서울시","강북구",2022,99477,17134,35997,4867,40483
"서울시","강북구",2023,100418,17068,36541,4903,40911
"서울시","강북구",2024,101800,16937,37754,4980,41131
"서울시","도봉구",2020,107156,8634,65032,4144,28620
"서울시","도봉구",2021,107959,8449,65305,4201,29289
"서울시","도봉구",2022,109190,8381,65664,4229,30210
"서울시","도봉구",2023,109465,8290,65690,4250,30536
"서울시","도봉구",2024,109638,8239,65706,4235,30751
"서울시","노원구",2020,189213,6619,163502,3448,14948
"서울시","노원구",2021,190352,6553,164583,3444,15089
"서울시","노원구",2022,192022,6519,166131,3487,15212
"서울시","노원구",2023,192926,6356,167100,3530,15272
"서울시","노원구",2024,192808,6328,166952,3559,15296
"서울시","은평구",2020,150658,14937,59438,5830,69210
"서울시","은평구",2021,156710,14627,64712,5842,70307
"서울시","은평구",2022,160630,14469,67705,5831,71420
"서울시","은평구",2023,165462,14350,72002,5826,72085
"서울시","은평구",2024,163763,13270,72680,5569,71042
"서울시","서대문구",2020,101036,12600,54132,5461,27910
"서울시","서대문구",2021,102024,12356,55231,5440,28094
"서울시","서대문구",2022,105047,12239,57952,5457,28507
"서울시","서대문구",2023,106640,12188,59417,5460,28686
"서울시","서대문구",2024,106311,11772,59575,5434,28644
"서울시","마포구",2020,122311,11618,70307,3142,35643
"서울시","마포구",2021,126005,11171,73836,3127,36364
"서울시","마포구",2022,127057,10720,74959,3080,36850
"서울시","마포구",2023,129421,10626,77146,3026,37175
"서울시","마포구",2024,129425,10538,77151,2969,37324
"서울시","양천구",2020,143769,7698,90788,4042,40382
"서울시","양천구",2021,145843,7597,92278,3954,41185
"서울시","양천구",2022,146886,7519,92705,3965,41885
"서울시","양천구",2023,147619,7517,93107,3968,42222
"서울시","양천구",2024,147679,7449,93090,4027,42314
"서울시","강서구",2020,195383,10260,113767,4794,65426
"서울시","강서구",2021,199556,10060,116965,4752,66670
"서울시","강서구",2022,201611,9717,117945,4751,68125
"서울시","강서구",2023,203887,9651,119305,4814,69041
"서울시","강서구",2024,204363,9423,119521,4818,69538
"서울시","구로구",2020,133012,11474,83459,7388,29852
"서울시","구로구",2021,134367,11316,83841,7495,30883
"서울시","구로구",2022,137403,11182,86340,7518,31551
"서울시","구로구",2023,137863,11083,86368,7631,31973
"서울시","구로구",2024,137950,11008,86464,7576,32094
"서울시","금천구",2020,68804,8807,31689,3914,23859
"서울시","금천구",2021,71117,8645,32995,3954,25002
"서울시","금천구",2022,72044,8507,33231,3929,25869
"서울시","금천구",2023,72901,8486,33513,4005,26393
"서울시","금천구",2024,72667,8453,33113,4034,26556
"서울시","영등포구",2020,107366,14276,74957,1487,15474
"서울시","영등포구",2021,110396,14054,77550,1501,16134
"서울시","영등포구",2022,112068,13623,79110,1581,16644
"서울시","영등포구",2023,114173,13593,80513,1760,17198
"서울시","영등포구",2024,115011,13454,81334,1668,17461
"서울시","동작구",2020,115615,14522,61606,5289,33103
"서울시","동작구",2021,119534,14362,65242,5209,33669
"서울시","동작구",2022,120374,14058,65921,5157,34212
"서울시","동작구",2023,122058,13829,67675,5061,34474
"서울시","동작구",2024,120989,12459,68782,5005,33746
"서울시","관악구",2020,127568,21249,55417,6218,42770
"서울시","관악구",2021,127783,21109,55524,6214,43014
"서울시","관악구",2022,129778,20855,57133,6224,43684
"서울시","관악구",2023,130244,20630,57467,6196,44071
"서울시","관악구",2024,130987,20578,57884,6230,44409
"서울시","서초구",2020,133528,5481,94499,5356,26931
"서울시","서초구",2021,135171,5326,95298,5286,28062
"서울시","서초구",2022,132706,5187,92711,5287,28377
"서울시","서초구",2023,136528,5161,96291,5301,28630
"서울시","서초구",2024,134566,4796,95946,5219,27470
"서울시","강남구",2020,173745,6968,126023,5827,33190
"서울시","강남구",2021,175536,6500,128437,5735,33232
"서울시","강남구",2022,178493,6223,131599,5649,33469
"서울시","강남구",2023,184608,6161,138025,5645,33229
"서울시","강남구",2024,192220,6045,145996,5555,33095
"서울시","송파구",2020,211578,8072,127239,4900,69796
"서울시","송파구",2021,215731,7791,131487,4720,70238
"서울시","송파구",2022,220192,7657,135070,4766,71257
"서울시","송파구",2023,221082,7621,135448,4754,71827
"서울시","송파구",2024,222795,7555,137132,4725,71951
"서울시","강동구",2020,137876,9956,87159,3114,36562
"서울시","강동구",2021,146249,9672,94531,3199,37790
"서울시","강동구",2022,148323,9411,95721,3216,38934
"서울시","강동구",2023,151178,9410,97890,3252,39584
"서울시","강동구",2024,155312,9362,101647,3377,39881
