"자치구별(1)","자치구별(2)",시점,면적,면적,동 (개),동 (개),통 (개),반 (개)
"자치구별(1)","자치구별(2)",시점,면적 (km²),구성비 (%),행정,법정,소계,소계
"서울시","소계",2020,605.23,100.00,425,467,12764,95940
"서울시","소계",2021,605.24,100.00,426,467,12859,96471
"서울시","소계",2022,605.21,100.00,426,467,12881,96502
"서울시","소계",2023,605.20,100.00,426,467,12926,96663
"서울시","소계",2024,605.25,100.00,426,467,12934,94795
"서울시","종로구",2020,23.91,3.95,17,87,279,1475
"서울시","종로구",2021,23.91,3.95,17,87,279,1475
"서울시","종로구",2022,23.91,3.95,17,87,279,1475
"서울시","종로구",2023,23.91,3.95,17,87,279,1475
"서울시","종로구",2024,23.91,3.95,17,87,279,1475
"서울시","중구",2020,9.96,1.65,15,74,253,1580
"서울시","중구",2021,9.96,1.65,15,74,253,1580
"서울시","중구",2022,9.96,1.65,15,74,253,1582
"서울시","중구",2023,9.96,1.65,15,74,256,1568
"서울시","중구",2024,9.96,1.65,15,74,256,1568
"서울시","용산구",2020,21.87,3.61,16,36,354,2581
"서울시","용산구",2021,21.87,3.61,16,36,356,2597
"서울시","용산구",2022,21.87,3.61,16,36,357,2601
"서울시","용산구",2023,21.87,3.61,16,36,357,2599
"서울시","용산구",2024,21.87,3.61,16,36,357,2599
"서울시","성동구",2020,16.86,2.79,17,17,467,3626
"서울시","성동구",2021,16.86,2.79,17,17,471,3645
"서울시","성동구",2022,16.82,2.78,17,17,471,3645
"서울시","성동구",2023,16.82,2.78,17,17,471,3645
"서울시","성동구",2024,16.86,2.79,17,17,471,3645
"서울시","광진구",2020,17.06,2.82,15,7,363,2999
"서울시","광진구",2021,17.06,2.82,15,7,370,3012
"서울시","광진구",2022,17.06,2.82,15,7,370,3012
"서울시","광진구",2023,17.06,2.82,15,7,370,3012
"서울시","광진구",2024,17.06,2.82,15,7,370,3012
"서울시","동대문구",2020,14.22,2.35,14,10,360,2633
"서울시","동대문구",2021,14.22,2.35,14,10,360,2631
"서울시","동대문구",2022,14.22,2.35,14,10,360,2629
"서울시","동대문구",2023,14.22,2.35,14,10,363,2657
"서울시","동대문구",2024,14.22,2.35,14,10,363,2655
