"자치구별(1)","자치구별(2)",시점,발생량,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,재활용,소각,매립,기타
"합계","소계",2020,14604852,14251418,9868,343566,-
"합계","소계",2021,12534675,12353225,7456,173994,-
"합계","소계",2022,10520690,10503037,6492,11161,-
"합계","소계",2023,8618337,8609442,6932,1963,-
"합계","소계",2024,9098437,9094575,3862,-,-
"합계","종로구",2020,244977,242946,23,2008,-
"합계","종로구",2021,334984,334066,28,890,-
"합계","종로구",2022,275856,274483,1373,-,-
"합계","종로구",2023,216598,216454,33,111,-
"합계","종로구",2024,173592,173540,52,-,-
"합계","중구",2020,430202,428720,208,1274,-
"합계","중구",2021,311695,310374,281,1040,-
"합계","중구",2022,319051,319040,11,-,-
"합계","중구",2023,213607,213582,25,-,-
"합계","중구",2024,301748,301747,2,-,-
"합계","용산구",2020,267005,262272,87,4646,-
"합계","용산구",2021,257038,255678,69,1291,-
"합계","용산구",2022,365184,363958,1226,-,-
"합계","용산구",2023,409386,408357,1029,-,-
"합계","용산구",2024,274422,274278,144,-,-
"합계","성동구",2020,660116,570186,140,89791,-
"합계","성동구",2021,1107885,1018574,27,89284,-
"합계","성동구",2022,787883,776724,103,11056,-
"합계","성동구",2023,742208,740360,-,1848,-
"합계","성동구",2024,751281,751215,66,-,-
"합계","광진구",2020,439375,436370,25,2980,-
"합계","광진구",2021,347478,346716,11,751,-
"합계","광진구",2022,223084,223023,62,-,-
"합계","광진구",2023,112888,112875,13,-,-
"합계","광진구",2024,155354,155341,13,-,-
"합계","동대문구",2020,1010620,1009956,36,629,-
"합계","동대문구",2021,542574,541522,-,1052,-
"합계","동대문구",2022,416130,416125,5,-,-
"합계","동대문구",2023,196638,196571,66,-,-
"합계","동대문구",2024,218121,217571,550,-,-
"합계","중랑구",2020,312042,311350,191,501,-
"합계","중랑구",2021,381425,381123,155,146,-
"합계","중랑구",2022,207985,207602,383,-,-
"합계","중랑구",2023,101667,101330,337,-,-
"합계","중랑구",2024,210101,210013,88,-,-
"합계","성북구",2020,299472,298377,55,1040,-
"합계","성북구",2021,474185,473801,-,384,-
"합계","성북구",2022,457253,457253,-,-,-
"합계","성북구",2023,187081,187078,3,-,-
"합계","성북구",2024,233845,233831,14,-,-
"합계","강북구",2020,215768,215232,7,530,-
"합계","강북구",2021,266018,265940,71,6,-
"합계","강북구",2022,179543,179407,136,-,-
"합계","강북구",2023,122666,122655,11,-,-
"합계","강북구",2024,163698,163666,33,-,-
"합계","도봉구",2020,331501,318992,35,12474,-
"합계","도봉구",2021,239030,238338,83,608,-
"합계","도봉구",2022,180679,180663,17,-,-
"합계","도봉구",2023,95230,94939,289,2,-
"합계","도봉구",2024,463209,463209,-,-,-
"합계","노원구",2020,228709,227268,123,1319,-
"합계","노원구",2021,229987,229380,260,347,-
"합계","노원구",2022,388071,387836,235,-,-
"합계","노원구",2023,306861,306582,279,-,-
"합계","노원구",2024,183808,183688,120,-,-
"합계","은평구",2020,645555,642091,68,3396,-
"합계","은평구",2021,335679,334977,119,584,-
"합계","은평구",2022,349009,348856,63,90,-
"합계","은평구",2023,258426,258426,-,-,-
"합계","은평구",2024,475666,475336,330,-,-
"합계","서대문구",2020,172749,170400,123,2226,-
"합계","서대문구",2021,260077,259662,111,305,-
"합계","서대문구",2022,155327,155315,12,-,-
"합계","서대문구",2023,169900,169900,-,-,-
"합계","서대문구",2024,89839,89757,83,-,-
"합계","마포구",2020,434365,433141,708,516,-
"합계","마포구",2021,283893,283396,161,335,-
"합계","마포구",2022,455696,455618,79,-,-
"합계","마포구",2023,362155,362105,51,-,-
"합계","마포구",2024,248059,248059,1,-,-
"합계","양천구",2020,291869,288996,128,2746,-
"합계","양천구",2021,249536,247131,54,2351,-
"합계","양천구",2022,154450,154447,4,-,-
"합계","양천구",2023,107829,107829,-,-,-
"합계","양천구",2024,187835,187832,3,-,-
"합계","강서구",2020,1306283,1158663,2276,145345,-
"합계","강서구",2021,771167,767623,441,3103,-
