"자치구별(1)","자치구별(2)",시점,발생량,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,재활용,소각,매립,기타
"합계","소계",2020,845195,394215,62122,119068,269790
"합계","소계",2021,1037142,615495,58428,128466,234754
"합계","소계",2022,1269178,935971,67003,64743,201460
"합계","소계",2023,1198375,743178,71598,58307,325292
"합계","소계",2024,1044490,585537,73629,56620,328704
"합계","종로구",2020,536,375,4,5,153
"합계","종로구",2021,575,448,35,5,87
"합계","종로구",2022,964,577,167,3,217
"합계","종로구",2023,5548,567,8,3,4970
"합계","종로구",2024,2447,1746,98,17,587
"합계","중구",2020,3891,3272,611,-,7
"합계","중구",2021,703,623,75,6,-
"합계","중구",2022,572,526,46,-,-
"합계","중구",2023,299,256,35,-,8
"합계","중구",2024,25473,25362,103,-,8
"합계","용산구",2020,5023,4709,292,-,22
"합계","용산구",2021,204139,203377,560,79,123
"합계","용산구",2022,365558,365180,378,-,-
"합계","용산구",2023,240879,240358,499,-,22
"합계","용산구",2024,43457,43190,37,-,230
"합계","성동구",2020,80560,31023,4225,103,45209
"합계","성동구",2021,122136,83058,2605,76,36397
"합계","성동구",2022,189274,157251,3922,7453,20648
"합계","성동구",2023,96361,54545,4179,2460,35177
"합계","성동구",2024,111943,75960,3014,52,32917
"합계","광진구",2020,12796,12629,1,67,99
"합계","광진구",2021,2458,2352,-,18,88
"합계","광진구",2022,2278,2214,-,53,11
"합계","광진구",2023,2011,1994,-,17,-
"합계","광진구",2024,1264,646,492,18,109
"합계","동대문구",2020,9323,9298,-,3,21
"합계","동대문구",2021,8195,8195,-,-,-
"합계","동대문구",2022,14557,10071,2627,1,1858
"합계","동대문구",2023,11904,9148,2714,3,39
"합계","동대문구",2024,7696,6656,1040,-,-
"합계","중랑구",2020,4022,1974,-,1971,77
"합계","중랑구",2021,6204,4126,-,2078,-
"합계","중랑구",2022,3798,3256,12,530,-
"합계","중랑구",2023,3464,3412,-,52,-
"합계","중랑구",2024,662,309,70,-,284
"합계","성북구",2020,2406,2398,2,6,-
"합계","성북구",2021,3657,3629,2,6,20
"합계","성북구",2022,620,612,2,6,-
"합계","성북구",2023,5042,5032,3,7,-
"합계","성북구",2024,8729,8721,2,6,-
"합계","강북구",2020,702,29,0,-,673
"합계","강북구",2021,386,-,0,-,385
"합계","강북구",2022,666,666,-,-,-
"합계","강북구",2023,412,192,-,-,221
"합계","강북구",2024,45,45,-,-,-
"합계","도봉구",2020,29365,23200,46,-,6118
"합계","도봉구",2021,282,265,17,-,-
"합계","도봉구",2022,1262,1253,9,-,-
"합계","도봉구",2023,453,453,-,-,-
"합계","도봉구",2024,19,19,-,-,-
"합계","노원구",2020,26478,375,38,26064,-
"합계","노원구",2021,27013,1088,15,25456,454
"합계","노원구",2022,24876,969,29,23557,321
"합계","노원구",2023,38244,11579,239,26404,22
"합계","노원구",2024,26136,1017,50,25070,-
"합계","은평구",2020,1442,1442,-,-,-
"합계","은평구",2021,82,72,-,-,10
"합계","은평구",2022,35,35,-,-,-
"합계","은평구",2023,10304,10151,-,-,153
"합계","은평구",2024,12231,11603,55,457,116
"합계","서대문구",2020,3438,352,-,37,3049
"합계","서대문구",2021,1383,944,-,54,385
"합계","서대문구",2022,172,109,-,44,20
"합계","서대문구",2023,4362,21,-,51,4291
"합계","서대문구",2024,751,310,-,41,399
"합계","마포구",2020,25041,22788,4,2249,-
"합계","마포구",2021,25993,24879,90,579,445
