"구분별(1)","구분별(2)",시점,발생량,재활용,재활용,재활용,소각,매립,기타
"구분별(1)","구분별(2)",시점,소계,소계,재활용,음식물,소계,소계,소계
"계","소계",2020,3540457,2345437,1415952,929484,837716,347161,10145
"계","소계",2021,3961311,2220841,1324095,896746,830279,541907,368285
"계","소계",2022,3983524,2495165,1589066,906099,826633,328037,333690
"계","소계",2023,3805818,2388828,1506977,881850,884407,266361,266223
"계","소계",2024,3836977,2373762,1507567,866195,908918,214165,340132
"계","처리비율",2020,100.0,66.2,40.0,26.3,23.7,9.8,0.3
"계","처리비율",2021,100.0,56.1,33.4,22.6,21.0,13.7,9.3
"계","처리비율",2022,100.0,62.6,39.9,22.7,20.8,8.2,8.4
"계","처리비율",2023,100.0,62.8,39.6,23.2,23.2,7.0,7.0
"계","처리비율",2024,100.0,61.9,39.3,22.6,23.7,5.6,8.9
"계","종로구",2020,96692,56165,28337,27828,30536,9466,525
"계","종로구",2021,83878,45404,20135,25269,30427,7518,529
"계","종로구",2022,104369,62003,33722,28281,35421,6635,310
"계","종로구",2023,97419,54632,25469,29163,35774,5645,1368
"계","종로구",2024,98887,58688,29130,29559,35903,3869,427
"계","중구",2020,130842,72461,43148,29313,47006,11375,-
"계","중구",2021,108816,50113,21472,28641,48862,9611,229
"계","중구",2022,118766,66571,31899,34672,43571,8318,306
"계","중구",2023,132481,78731,41777,36954,45292,6595,1862
"계","중구",2024,133576,85767,47751,38016,41851,4641,1318
"계","용산구",2020,110255,72190,48882,23308,28417,9575,73
"계","용산구",2021,107173,68334,45669,22665,29489,9113,237
"계","용산구",2022,216363,178471,153510,24960,31172,6511,209
"계","용산구",2023,208742,171993,149004,22989,31658,4979,111
"계","용산구",2024,103895,67515,42197,25318,32618,3506,257
"계","성동구",2020,110224,73914,45279,28635,22839,9739,3733
"계","성동구",2021,99225,68206,40224,27982,20456,10421,142
"계","성동구",2022,104584,66623,38624,27999,22459,15149,353
"계","성동구",2023,106823,68206,40545,27661,30416,8083,120
"계","성동구",2024,159245,120565,93089,27476,30444,6175,2062
"계","광진구",2020,125579,87415,55637,31778,30325,7823,15
"계","광진구",2021,91428,62681,32505,30176,18288,10459,-
"계","광진구",2022,120644,95246,64919,30328,16497,8595,306
"계","광진구",2023,104709,67412,36984,30428,29242,8048,8
"계","광진구",2024,107234,71082,41987,29096,27968,8176,8
"계","동대문구",2020,161082,121098,87880,33218,31697,8277,10
"계","동대문구",2021,116867,75504,41504,34000,31695,9560,109
"계","동대문구",2022,108075,68325,37152,31174,30065,9484,200
"계","동대문구",2023,113337,72494,41190,31303,31512,7144,2187
"계","동대문구",2024,112593,73460,42239,31221,33612,4632,889
"계","중랑구",2020,123561,82943,51207,31736,33840,6778,-
"계","중랑구",2021,105213,64188,33497,30691,33476,7527,23
"계","중랑구",2022,104375,63404,32872,30532,33253,6819,900
"계","중랑구",2023,96847,57284,28112,29172,35055,4233,275
"계","중랑구",2024,107223,66826,37464,29362,37416,2942,39
"계","성북구",2020,132342,90004,58017,31987,37020,5206,112
"계","성북구",2021,136000,100565,68936,31629,31140,3620,675
"계","성북구",2022,125909,85083,51634,33449,29930,3031,7865
"계","성북구",2023,123724,83204,49463,33741,38734,1421,365
"계","성북구",2024,117738,87203,55025,32178,28119,1972,445
"계","강북구",2020,88989,53419,28260,25158,32484,3086,-
"계","강북구",2021,94407,63804,40369,23436,25501,2504,2597
"계","강북구",2022,89627,61272,38208,23065,24914,2157,1284
"계","강북구",2023,88886,62128,40003,22125,24499,2223,35
"계","강북구",2024,83607,57254,35218,22037,24101,2252,-
"계","도봉구",2020,110126,72850,46187,26663,34579,2599,98
"계","도봉구",2021,91929,53467,27155,26313,35235,3095,132
"계","도봉구",2022,94263,70069,43989,26080,20088,2597,1509
"계","도봉구",2023,102431,58070,31074,26996,36818,2605,4938
"계","도봉구",2024,88094,61429,37068,24361,20306,2084,4276
"계","노원구",2020,144500,102566,59548,43018,39196,1926,813
"계","노원구",2021,135900,95590,53368,42222,36352,3854,104
"계","노원구",2022,145778,106889,64645,42244,35346,3490,53
"계","노원구",2023,140139,102671,62070,40600,33276,3815,377
"계","노원구",2024,150001,96090,55535,40555,41725,1856,10329
"계","은평구",2020,139243,81603,52496,29107,19271,38299,71
"계","은평구",2021,138304,83540,55091,28450,14275,40420,69
"계","은평구",2022,128783,72461,44847,27614,16763,38861,698
"계","은평구",2023,123761,74038,47526,26512,16353,33351,20
"계","은평구",2024,127441,72827,46712,26115,24803,29811,-
"계","서대문구",2020,104413,64333,41128,23205,28780,11300,-
"계","서대문구",2021,96768,57786,35533,22253,30403,8512,68
"계","서대문구",2022,107631,67206,44791,22415,29038,8326,3061
"계","서대문구",2023,97594,60677,38427,22250,31484,5433,-
"계","서대문구",2024,99837,63501,40880,22621,31947,4288,101
"계","마포구",2020,134108,79919,48960,30959,41798,12391,-
"계","마포구",2021,199008,79714,51252,28462,41372,10035,67887
"계","마포구",2022,152394,88134,58550,29584,42222,9994,12045
"계","마포구",2023,135308,83318,54544,28775,43555,7586,849
"계","마포구",2024,142121,85360,58662,26698,49895,5601,1266
"계","양천구",2020,144360,104623,72041,32582,33003,6734,-
"계","양천구",2021,128894,86602,54322,32280,30053,10819,1420
"계","양천구",2022,123688,80582,47876,32706,33872,6324,2911
"계","양천구",2023,115678,78725,48748,29977,29907,6779,266
"계","양천구",2024,121756,72237,42695,29542,33545,6453,9522
"계","강서구",2020,192797,133861,81134,52728,37921,20583,431
"계","강서구",2021,751795,212856,165418,47438,38987,229973,269979
"계","강서구",2022,585756,274273,228116,46157,46052,22085,243346
"계","강서구",2023,490315,221810,178033,43777,48403,15035,205068
"계","강서구",2024,590910,270188,225445,44743,50371,14385,255967
"계","구로구",2020,120646,63150,33108,30042,39947,17541,8
"계","구로구",2021,136224,76846,46994,29852,40405,18687,287
"계","구로구",2022,134033,80101,51349,28752,37846,15879,208
"계","구로구",2023,171610,119509,91264,28245,39364,12648,89
"계","구로구",2024,122831,71343,43017,28325,44102,7011,375
"계","금천구",2020,100451,69075,48929,20146,5749,24736,891
"계","금천구",2021,98645,62226,41962,20265,11718,24175,525
"계","금천구",2022,99931,65228,45141,20087,11294,22984,425
"계","금천구",2023,101244,64988,45608,19380,11071,21475,3710
"계","금천구",2024,96694,64032,44733,19299,10564,21528,570
"계","영등포구",2020,164492,108772,58838,49934,44477,9801,1442
"계","영등포구",2021,161206,112103,64107,47997,32519,14311,2274
"계","영등포구",2022,167303,113275,65114,48162,39621,13033,1375
"계","영등포구",2023,166688,114964,66360,48604,40194,10454,1076
"계","영등포구",2024,158377,106906,60696,46210,42491,7829,1150
"계","동작구",2020,118757,86746,55512,31234,24316,6850,846
"계","동작구",2021,108554,71943,42577,29366,25098,11143,371
"계","동작구",2022,118013,77044,47526,29518,26806,13606,557
"계","동작구",2023,116719,79700,50954,28746,26679,9967,373
"계","동작구",2024,119527,80659,52048,28611,27158,9166,2544
"계","관악구",2020,146977,103521,69067,34454,11177,32279,-
"계","관악구",2021,146143,87868,54392,33476,40409,17867,-
"계","관악구",2022,161574,109513,75883,33630,32082,19980,-
"계","관악구",2023,146875,97385,65990,31395,31360,18067,63
"계","관악구",2024,149864,111384,80526,30858,24650,13830,-
"계","서초구",2020,184761,109206,52198,57007,46581,28975,-
"계","서초구",2021,177110,108844,55057,53786,49351,18095,821
"계","서초구",2022,180281,112992,60684,52308,47902,17609,1778
"계","서초구",2023,178090,111677,61277,50400,48674,16791,948
"계","서초구",2024,180257,113288,63473,49815,47403,16181,3385
"계","강남구",2020,254317,166714,77982,88732,74305,12820,478
"계","강남구",2021,248001,161619,76884,84735,73051,13244,87
"계","강남구",2022,263297,163224,73249,89976,81017,16579,2477
"계","강남구",2023,261425,161437,75688,85749,85097,14630,262
"계","강남구",2024,266815,169222,88651,80570,85233,10546,1814
"계","송파구",2020,266247,198010,121708,76302,35498,32302,438
"계","송파구",2021,253209,173237,100368,72869,40967,31434,7571
"계","송파구",2022,301830,177052,105291,71761,39669,33624,51485
"계","송파구",2023,262182,156087,87724,68363,39356,24918,41821
"계","송파구",2024,268890,162401,96844,65558,48885,14789,42814
"계","강동구",2020,134696,90881,50471,40410,26954,16699,161
"계","강동구",2021,146616,97802,55306,42496,20752,15911,12151
"계","강동구",2022,126256,90128,49478,40650,19731,16367,30
"계","강동구",2023,122793,87690,49144,38546,20634,14436,33
"계","강동구",2024,129564,84538,46483,38055,33808,10643,574
