"자치구별(1)","자치구별(2)",시점,행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A),배출량(C),처리량(D),수거율(D/C),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년)
"자치구별(1)","자치구별(2)",시점,면적 (km²),인구 (명),면적 (km²),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,기타
"합계","소계",2020,605.23,9911088,605.23,9911088,100.0,19122829,19122829,100.0,19122829,841648,975802,17020370,285009
"합계","소계",2021,605.24,9736027,605.24,9736027,100.0,17669807,17669807,100.0,17669807,870995,970873,15220388,607551
"합계","소계",2022,605.21,9667669,605.21,9667669,100.0,15904316,15904316,100.0,15904316,431348,971704,13961950,539313
"합계","소계",2023,605.20,9638799,605.20,9638799,100.0,13741210,13741210,100.0,13741210,343719,1032403,11769169,595919
"합계","소계",2024,605.25,9597372,605.25,9597372,100.0,14095481,14095481,100.0,14095481,287641,1049469,12084008,674364
"합계","종로구",2020,23.91,158996,23.91,158996,100.0,349122,349122,100.0,349122,11765,35278,301317,762
"합계","종로구",2021,23.91,153789,23.91,153789,100.0,427101,427101,100.0,427101,8601,35832,381765,903
"합계","종로구",2022,23.91,152211,23.91,152211,100.0,388017,388017,100.0,388017,7126,41873,338310,707
"합계","종로구",2023,23.91,150453,23.91,150453,100.0,326233,326233,100.0,326233,6173,40532,273087,6441
"합계","종로구",2024,23.91,149608,23.91,149608,100.0,280518,280518,100.0,280518,4061,40086,235251,1121
"합계","중구",2020,9.96,134635,9.96,134635,100.0,568669,568669,100.0,568669,13102,49978,505466,124
"합계","중구",2021,9.96,131787,9.96,131787,100.0,425458,425458,100.0,425458,11014,51890,362298,256
"합계","중구",2022,9.96,130785,9.96,130785,100.0,441836,441836,100.0,441836,8793,45657,387027,359
"합계","중구",2023,9.96,131793,9.96,131793,100.0,349138,349138,100.0,349138,6946,47049,293220,1924
"합계","중구",2024,9.96,131214,9.96,131214,100.0,463201,463201,100.0,463201,4813,43340,413582,1466
"합계","용산구",2020,21.87,244645,21.87,244645,100.0,385259,385259,100.0,385259,14352,30149,340570,189
"합계","용산구",2021,21.87,237285,21.87,237285,100.0,570680,570680,100.0,570680,10742,31323,528210,405
"합계","용산구",2022,21.87,233284,21.87,233284,100.0,949707,949707,100.0,949707,6981,34096,908379,251
"합계","용산구",2023,21.87,227106,21.87,227106,100.0,861824,861824,100.0,861824,5124,34370,821744,585
"합계","용산구",2024,21.87,217194,21.87,217194,100.0,424047,424047,100.0,424047,3752,33855,385534,907
"합계","성동구",2020,16.86,300505,16.86,300505,100.0,856107,856107,100.0,856107,100007,29498,677491,49112
"합계","성동구",2021,16.86,292672,16.86,292672,100.0,1335314,1335314,100.0,1335314,100078,26036,1172435,36765
"합계","성동구",2022,16.82,288234,16.82,288234,100.0,1087034,1087034,100.0,1087034,33898,29292,1002565,21278
"합계","성동구",2023,16.82,284766,16.82,284766,100.0,950481,950481,100.0,950481,12525,37245,865243,35468
"합계","성동구",2024,16.86,281289,16.86,281289,100.0,1027416,1027416,100.0,1027416,6383,35878,949977,35178
"합계","광진구",2020,17.06,360109,17.06,360109,100.0,580059,580059,100.0,580059,11043,31764,536939,314
"합계","광진구",2021,17.06,352627,17.06,352627,100.0,444106,444106,100.0,444106,11402,20122,412441,141
"합계","광진구",2022,17.06,351252,17.06,351252,100.0,348781,348781,100.0,348781,8974,18399,321031,378
"합계","광진구",2023,17.06,351180,17.06,351180,100.0,222019,222019,100.0,222019,8239,30846,182836,98
"합계","광진구",2024,17.06,348652,17.06,348652,100.0,266068,266068,100.0,266068,8265,29986,227553,264
"합계","동대문구",2020,14.22,357014,14.22,357014,100.0,1184725,1184725,100.0,1184725,9512,33794,1141166,253
"합계","동대문구",2021,14.22,352006,14.22,352006,100.0,671264,671264,100.0,671264,10995,34094,626044,133
"합계","동대문구",2022,14.22,353601,14.22,353601,100.0,542009,542009,100.0,542009,9663,34934,495337,2075
