"자치구별(1)","시점",주민 1인당 생활폐기물(쓰레기) 배출량 (㎏/인 일),생활계폐기물 배출량 (톤/일),주민수 (명)
"계","2009",1.08,11336.8,10464051
"계","2010",0.95,10020.4,10575447
"계","2011",0.90,9440.1,10528774
"계","2012",0.88,9189.3,10442426
"계","2013",0.82,8559.0,10388055
"계","2014",0.93,9613.8,10369593
"계","2015",0.92,9438.7,10297138
"계","2016",0.94,9608.0,10204057
"계","2017",0.91,9217.3,10124579
"계","2018",0.94,9492.9,10049607
"계","2019",0.98,9847.4,10010983
"계","2020",0.98,9673.4,9911088
"계","2021",1.11,10852.9,9736027
"계","2022",1.13,10913.8,9667669
"계","2023",1.08,10426.9,9638799
"계","2024",1.09,10483.5,9597372
"종로구","2009",2.17,385.4,177543
"종로구","2010",2.45,439.0,179362
"종로구","2011",2.32,411.0,177419
"종로구","2012",2.23,386.6,173148
"종로구","2013",2.11,354.7,167867
"종로구","2014",2.21,365.4,165344
"종로구","2015",1.98,324.4,163822
"종로구","2016",2.51,406.0,161922
"종로구","2017",2.28,375.1,164257
"종로구","2018",2.22,362.7,163026
"종로구","2019",2.10,339.9,161869
"종로구","2020",1.66,264.2,158996
"종로구","2021",1.49,229.8,153789
"종로구","2022",1.88,285.9,152211
"종로구","2023",1.77,266.9,150453
"종로구","2024",1.81,270.2,149608
"중구","2009",3.54,487.4,137861
"중구","2010",3.75,529.2,141200
"중구","2011",3.98,562.9,141567
"중구","2012",3.93,553.4,140807
"중구","2013",3.68,507.9,137990
"중구","2014",3.70,504.5,136227
"중구","2015",3.72,500.3,134329
"중구","2016",3.71,499.2,134409
"중구","2017",3.31,446.0,134593
"중구","2018",3.17,429.7,135633
"중구","2019",3.03,413.7,136488
"중구","2020",2.66,357.5,134635
"중구","2021",2.26,298.1,131787
"중구","2022",2.49,325.4,130785
"중구","2023",2.75,363.0,131793
"중구","2024",2.78,365.0,131214
"용산구","2009",1.30,326.7,251200
"용산구","2010",0.79,203.7,257143
"용산구","2011",0.83,214.2,259288
"용산구","2012",0.89,227.9,255294
"용산구","2013",0.77,193.2,251925
"용산구","2014",1.09,273.0,249914
"용산구","2015",1.03,255.1,247909
"용산구","2016",1.07,262.1,245102
"용산구","2017",1.07,262.7,244444
"용산구","2018",1.18,288.4,245090
"용산구","2019",1.24,305.2,245185
"용산구","2020",1.23,301.2,244645
"용산구","2021",1.24,293.6,237285
"용산구","2022",2.54,592.8,233284
"용산구","2023",2.52,571.9,227106
"용산구","2024",1.31,283.9,217194
"성동구","2009",0.99,312.5,316064
"성동구","2010",0.89,282.0,316892
"성동구","2011",0.94,290.2,308767
"성동구","2012",0.87,267.6,306868
"성동구","2013",0.85,261.8,306571
"성동구","2014",0.84,254.1,303891
"성동구","2015",0.85,259.4,305065
"성동구","2016",0.84,257.8,307161
"성동구","2017",0.82,255.7,312711
"성동구","2018",0.85,270.0,316463
"성동구","2019",0.98,303.1,308979
"성동구","2020",1.00,301.2,300505
"성동구","2021",0.93,271.8,292672
"성동구","2022",0.99,286.5,288234
"성동구","2023",1.03,292.7,284766
"성동구","2024",1.55,435.1,281289
"광진구","2009",0.99,382.7,386513
