"자치구별(1)","자치구별(2)",시점,발생량,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,재활용,소각,매립,기타
"서울시","소계",2020,132325,29300,66097,31853,5075
"서울시","소계",2021,136679,30828,74710,26629,4513
"서울시","소계",2022,130925,27777,71576,27408,4163
"서울시","소계",2023,118681,27721,69466,17089,4405
"서울시","소계",2024,115577,30135,63059,16856,5528
"서울시","종로구",2020,6916,1831,4715,286,84
"서울시","종로구",2021,7666,1847,5342,189,287
"서울시","종로구",2022,6828,1247,4913,488,180
"서울시","종로구",2023,6669,1434,4718,414,103
"서울시","종로구",2024,5592,1277,4033,175,107
"서울시","중구",2020,3734,1013,2152,453,117
"서울시","중구",2021,4244,1189,2672,356,27
"서울시","중구",2022,3446,890,2028,475,53
"서울시","중구",2023,2752,651,1696,350,54
"서울시","중구",2024,2404,707,1385,172,140
"서울시","용산구",2020,2976,1400,1353,130,93
"서울시","용산구",2021,2331,821,1206,259,45
"서울시","용산구",2022,2603,770,1321,470,42
"서울시","용산구",2023,2818,1037,1185,144,452
"서울시","용산구",2024,2273,552,1056,245,420
"서울시","성동구",2020,5207,2369,2294,374,170
"서울시","성동구",2021,6068,2597,2948,298,225
"서울시","성동구",2022,5293,1967,2808,241,276
"서울시","성동구",2023,5088,2133,2651,134,171
"서울시","성동구",2024,4947,2237,2354,156,200
"서울시","광진구",2020,2310,525,1413,173,200
"서울시","광진구",2021,2742,693,1823,174,53
"서울시","광진구",2022,2775,549,1840,325,62
"서울시","광진구",2023,2412,556,1592,174,89
"서울시","광진구",2024,2216,483,1514,71,147
"서울시","동대문구",2020,3700,814,2061,603,222
"서울시","동대문구",2021,3629,823,2399,383,24
"서울시","동대문구",2022,3246,816,2237,177,16
"서울시","동대문구",2023,3303,726,2240,281,56
"서울시","동대문구",2024,3440,881,2176,232,151
"서울시","중랑구",2020,1765,560,1033,139,33
"서울시","중랑구",2021,2067,562,1332,169,4
"서울시","중랑구",2022,1895,577,1186,125,7
"서울시","중랑구",2023,2188,647,1228,225,88
"서울시","중랑구",2024,2204,764,1176,120,144
"서울시","성북구",2020,3186,457,2371,139,219
"서울시","성북구",2021,3239,494,2454,230,61
"서울시","성북구",2022,3533,549,2623,278,82
"서울시","성북구",2023,3347,540,2576,129,101
"서울시","성북구",2024,3289,578,2359,245,107
"서울시","강북구",2020,1351,458,715,125,54
"서울시","강북구",2021,1604,519,857,216,13
"서울시","강북구",2022,1616,502,768,225,121
"서울시","강북구",2023,1492,578,734,113,68
"서울시","강북구",2024,1760,912,775,60,14
"서울시","도봉구",2020,1426,433,774,201,18
"서울시","도봉구",2021,1476,450,883,89,54
"서울시","도봉구",2022,1449,406,806,191,47
"서울시","도봉구",2023,1849,410,824,561,53
"서울시","도봉구",2024,1400,467,751,114,68
"서울시","노원구",2020,5946,729,1987,3078,152
"서울시","노원구",2021,5808,744,2470,2490,104
"서울시","노원구",2022,4716,692,1792,2059,174
"서울시","노원구",2023,2998,753,1800,345,100
"서울시","노원구",2024,3058,768,1606,398,286
"서울시","은평구",2020,2980,625,1727,600,28
"서울시","은평구",2021,3905,669,2321,298,617
"서울시","은평구",2022,3336,754,1866,694,23
"서울시","은평구",2023,3455,873,1818,720,44
"서울시","은평구",2024,3478,915,1742,787,35
"서울시","서대문구",2020,5909,472,5185,226,26
"서울시","서대문구",2021,6565,499,5740,245,81
"서울시","서대문구",2022,6317,512,5628,143,33
"서울시","서대문구",2023,6575,619,5696,102,159
"서울시","서대문구",2024,5832,528,4756,272,276
"서울시","마포구",2020,8820,1708,919,6128,65
"서울시","마포구",2021,7809,1237,755,5716,102
"서울시","마포구",2022,7235,1239,673,5308,15
"서울시","마포구",2023,2771,1277,763,586,144
"서울시","마포구",2024,2817,1511,816,392,97
"서울시","양천구",2020,5935,665,1631,3596,43
"서울시","양천구",2021,3896,647,1902,1184,163
"서울시","양천구",2022,2803,675,1794,314,21
"서울시","양천구",2023,3023,786,1758,308,172
"서울시","양천구",2024,3383,817,1719,339,508
"서울시","강서구",2020,4692,1180,3006,426,80
"서울시","강서구",2021,5052,1267,3374,321,91
"서울시","강서구",2022,5221,1398,3494,264,65
"서울시","강서구",2023,5157,1161,3431,297,268
"서울시","강서구",2024,6893,1979,4633,168,113
"서울시","구로구",2020,3141,909,2004,144,84
"서울시","구로구",2021,3901,1112,2209,409,171
"서울시","구로구",2022,3636,1089,2240,204,103
"서울시","구로구",2023,3443,979,2097,313,54
"서울시","구로구",2024,3490,1159,2137,137,56
"서울시","금천구",2020,2514,995,996,275,249
"서울시","금천구",2021,2595,1037,906,372,281
"서울시","금천구",2022,2873,1220,925,381,347
"서울시","금천구",2023,2818,1011,925,324,558
"서울시","금천구",2024,2969,1157,935,157,720
"서울시","영등포구",2020,5778,1056,2595,423,1705
"서울시","영등포구",2021,5380,1139,2696,641,904
"서울시","영등포구",2022,4808,1250,2708,261,589
"서울시","영등포구",2023,4831,1354,2528,376,573
"서울시","영등포구",2024,4706,1354,2366,273,713
"서울시","동작구",2020,3509,509,2337,299,364
"서울시","동작구",2021,3786,936,2361,217,271
"서울시","동작구",2022,3337,661,2127,218,332
"서울시","동작구",2023,3192,535,2036,436,185
"서울시","동작구",2024,2762,513,1741,302,206
"서울시","관악구",2020,2654,1140,1249,211,55
"서울시","관악구",2021,3081,1197,1533,343,9
"서울시","관악구",2022,3025,1027,1365,523,111
"서울시","관악구",2023,2818,855,1460,366,139
"서울시","관악구",2024,2793,864,1474,241,213
"서울시","서초구",2020,10941,4148,5895,545,352
"서울시","서초구",2021,12439,4222,6570,1267,379
"서울시","서초구",2022,15586,4552,7109,3624,301
"서울시","서초구",2023,11810,3936,7129,392,353
"서울시","서초구",2024,11681,4393,6299,766,224
"서울시","강남구",2020,18547,1397,7169,9751,230
"서울시","강남구",2021,20172,2217,7838,9885,233
"서울시","강남구",2022,19656,1204,7759,9822,872
"서울시","강남구",2023,18166,1131,7423,9350,262
"서울시","강남구",2024,18614,1406,6128,10693,388
"서울시","송파구",2020,13128,2358,7993,2531,246
"서울시","송파구",2021,11586,2170,8902,478,36
"서울시","송파구",2022,10960,1646,8746,389,179
"서울시","송파구",2023,10758,1982,8484,255,38
"서울시","송파구",2024,9108,2176,6696,185,51
"서울시","강동구",2020,5259,1551,2524,999,186
"서울시","강동구",2021,5639,1740,3219,401,278
"서울시","강동구",2022,4733,1588,2822,209,114
"서울시","강동구",2023,4949,1759,2675,396,119
"서울시","강동구",2024,4468,1738,2433,152,144
