"동별(1)","항목","시점",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","한국인","2020",9668465,270481,353264,371652,410214,630115,830296,726382,748724,728008,800174,784730,738826,714460,529494,404546,299530,188219,89875,33503,9180,6792
"합계","한국인","2021",9509458,244538,339145,367879,388257,603077,819200,736001,703278,729566,751214,801892,705302,722662,563260,396569,299231,199138,95871,33815,7920,1643
"합계","한국인","2022",9428372,227619,317698,362502,386616,578374,811109,758697,667111,730905,718801,801828,690974,717931,579856,408481,305015,219561,101648,34536,7818,1292
"합계","한국인","2023",9386034,213014,300548,355014,378197,555058,800753,777975,649430,737027,683046,793687,701870,706835,609103,417048,321421,228831,110383,36809,8537,1448
"합계","한국인","2024",9331828,202897,280883,352036,368731,530569,777691,796699,645966,708639,675311,775758,710310,692690,633549,436781,336990,234945,120305,40067,9527,1484
"종로구","한국인","2020",149384,3080,4447,5152,5861,10474,12942,10084,9859,9949,12282,12892,12567,11484,8464,6732,5768,3999,1979,802,291,276
"종로구","한국인","2021",144683,2720,4264,4934,5447,9965,12837,10302,9168,9909,11060,13100,11857,11511,8841,6254,5383,4078,2071,750,200,32
"종로구","한국인","2022",141379,2512,3891,4718,5369,9563,12721,10553,8789,9812,10132,12745,11471,11399,8902,6184,5220,4345,2109,725,190,29
"종로구","한국인","2023",139417,2342,3577,4540,5199,9113,12383,10882,8440,9783,9411,12414,11501,11332,9357,6218,5285,4328,2316,760,201,35
"종로구","한국인","2024",138336,2254,3257,4420,4958,8639,12324,11326,8428,9340,9147,11851,11525,11293,9723,6478,5389,4337,2500,884,222,41
"중구","한국인","2020",125240,3281,3555,3092,3681,7654,10932,10131,9976,8735,9276,10331,10371,10051,7500,5918,4815,3180,1656,697,203,205
"중구","한국인","2021",122499,2927,3372,3053,3421,7369,10940,10388,9498,8807,8572,10364,9679,10072,8011,5628,4593,3284,1683,667,145,26
"중구","한국인","2022",120437,2789,3175,2937,3385,6934,10685,10746,9115,8801,7967,10031,9365,9847,8184,5708,4553,3591,1773,666,157,28
"중구","한국인","2023",121312,2687,2943,2898,3258,6727,10810,11558,9306,9104,7665,9725,9343,9763,8570,5766,4725,3669,1892,704,172,27
"중구","한국인","2024",120544,2562,2754,2803,3080,6346,10431,12014,9582,8837,7579,9235,9345,9568,8841,6021,4824,3747,2027,728,198,22
"용산구","한국인","2020",230040,6298,7198,7192,8417,13757,19728,19058,19011,16998,18700,19133,17937,16834,12006,9415,7788,5640,2932,1193,434,371
"용산구","한국인","2021",222953,5805,6848,6951,7741,13290,19488,19678,18041,16823,16958,19321,16801,16656,12513,8771,7189,5602,2989,1139,278,71
"용산구","한국인","2022",218650,5498,6475,6704,7537,12560,19243,20719,17328,16919,15593,19039,16221,16336,12818,8622,6862,5741,3069,1094,232,40
"용산구","한국인","2023",213151,5068,6021,6394,7226,11634,18469,20723,16687,16789,14499,18203,16114,16085,13241,8650,6972,5633,3272,1150,265,56
"용산구","한국인","2024",203854,4732,5518,6154,6762,10635,17140,20582,16204,15751,13606,16844,15813,15219,13269,8647,6803,5367,3289,1187,280,52
"성동구","한국인","2020",293556,10061,10388,9117,10698,19590,25453,23676,25229,21994,23026,23919,23329,21641,14893,11533,9053,5871,2649,933,252,251
"성동구","한국인","2021",285990,9179,10043,8998,9905,18539,24924,23247,23568,22018,21328,24154,22000,21886,15882,11156,8955,6075,2927,963,195,48
"성동구","한국인","2022",281000,8637,9598,8668,9839,17823,24315,23353,22317,22071,20168,23776,21135,21770,16484,11172,8901,6637,3127,963,201,45
"성동구","한국인","2023",277361,7856,9037,8340,9511,17016,23963,23946,21718,22162,18764,23174,21275,21339,17239,11350,9057,6892,3425,1036,217,44
"성동구","한국인","2024",273669,7563,8411,8237,9094,16106,22847,24802,21622,21435,18319,22134,21318,20751,17867,11745,9348,7001,3634,1156,245,34
"광진구","한국인","2020",346682,8351,11221,12237,13694,26193,36747,29113,26870,24874,27608,28122,26419,24922,17538,12852,9576,6105,2745,990,287,218
"광진구","한국인","2021",339996,7338,10406,11867,12907,24936,36680,29483,25232,24851,25619,28389,25412,25426,18726,12461,9472,6503,2992,1003,243,50
"광진구","한국인","2022",337416,6764,9683,11511,12958,23990,36230,30691,24010,24775,24463,28156,25108,25340,19351,13004,9714,7111,3214,1049,252,42
"광진구","한국인","2023",335554,6290,8918,11253,12551,22861,35988,31547,23396,24921,23182,27592,25564,25030,20506,13282,10289,7362,3566,1135,278,43
"광진구","한국인","2024",331963,5835,8263,10915,12071,21759,35128,32184,23170,23805,22724,26598,25665,24512,21517,14067,10657,7558,3911,1269,308,47
"동대문구","한국인","2020",342837,9517,11271,11058,12589,26031,30300,24435,25740,24284,26346,27119,26143,26392,20001,15615,12580,7851,3670,1220,362,313
"동대문구","한국인","2021",337400,8705,10885,10905,11862,25705,30566,24792,24231,24494,24508,27250,24993,26495,21037,15029,12261,8271,3872,1202,268,69
"동대문구","한국인","2022",336644,8143,10499,10834,11900,25652,30577,25407,23160,24836,23572,27138,24459,26212,21602,15442,12325,9144,4169,1259,259,55
"동대문구","한국인","2023",341149,7940,10362,10801,11806,25711,31161,26698,22764,25776,22919,27412,25128,25881,22675,15631,12717,9556,4524,1347,283,57
"동대문구","한국인","2024",338735,7493,9681,10679,11591,25034,30509,27501,22644,24739,22514,26515,25399,25122,23500,16305,13056,9682,4849,1552,320,50
"중랑구","한국인","2020",394702,10531,12533,12380,14379,23622,32490,28753,29371,27583,30300,34175,35353,33891,24331,18085,13360,8097,3661,1274,327,206
"중랑구","한국인","2021",387350,9422,11863,12040,13392,22060,32068,29458,27567,27764,27946,34058,33460,34692,26013,17833,13343,8751,3951,1305,297,67
"중랑구","한국인","2022",385318,9108,11234,11846,12997,20715,31563,31058,26664,28158,26558,33250,32506,34871,27070,18424,13591,9773,4202,1358,321,51
"중랑구","한국인","2023",382155,8519,10595,11541,12419,19480,30562,31756,26061,28233,24906,31984,32746,34562,28756,18909,14360,10256,4624,1462,371,53
"중랑구","한국인","2024",379274,7965,9828,11259,12009,18237,29309,32496,25766,27100,24710,30618,32741,33937,30245,20160,15074,10623,5121,1638,378,60
"성북구","한국인","2020",437153,12220,16602,17340,19805,32361,34611,28291,31552,31950,37889,36742,32639,31538,23359,18564,15004,9746,4483,1658,415,384
