"동별(1)","동별(2)",시점,합계,합계
"동별(1)","동별(2)",시점,사업체수 (개),종사자수 (명)
"합계","소계",2020,1211053,5868926
"합계","소계",2021,1188091,5771226
"합계","소계",2022,1180025,5795425
"합계","소계",2023,1177287,5800617
"합계","소계",2024,1176066,5772456
"합계","종로구",2020,50531,284570
"합계","종로구",2021,48361,275063
"합계","종로구",2022,47595,278403
"합계","종로구",2023,46977,270442
"합계","종로구",2024,46830,265635
"합계","중구",2020,76129,408064
"합계","중구",2021,70308,386564
"합계","중구",2022,68143,386148
"합계","중구",2023,67202,419211
"합계","중구",2024,67098,399960
"합계","용산구",2020,31507,154288
"합계","용산구",2021,29680,152605
"합계","용산구",2022,28047,151851
"합계","용산구",2023,28363,158552
"합계","용산구",2024,27854,157564
"합계","성동구",2020,41582,196377
"합계","성동구",2021,41665,203221
"합계","성동구",2022,41306,205900
"합계","성동구",2023,40674,201359
"합계","성동구",2024,39264,201023
"합계","광진구",2020,35423,134230
"합계","광진구",2021,33706,129707
"합계","광진구",2022,33325,129917
"합계","광진구",2023,33384,127974
"합계","광진구",2024,33295,125475
"합계","동대문구",2020,43029,148308
"합계","동대문구",2021,42813,146383
"합계","동대문구",2022,42491,145879
"합계","동대문구",2023,42782,145777
"합계","동대문구",2024,43129,145719
"합계","중랑구",2020,38558,111086
"합계","중랑구",2021,39310,113144
"합계","중랑구",2022,40320,114733
"합계","중랑구",2023,40964,112740
"합계","중랑구",2024,42344,115477
"합계","성북구",2020,34420,121798
"합계","성북구",2021,34712,124004
"합계","성북구",2022,35162,125727
"합계","성북구",2023,35548,126186
"합계","성북구",2024,35561,125573
"합계","강북구",2020,26711,83276
"합계","강북구",2021,26385,80222
"합계","강북구",2022,26114,79859
"합계","강북구",2023,26310,77797
"합계","강북구",2024,25636,75722
"합계","도봉구",2020,25607,79429
"합계","도봉구",2021,25391,79097
"합계","도봉구",2022,25193,77618
"합계","도봉구",2023,25580,80251
"합계","도봉구",2024,25298,80087
"합계","노원구",2020,37442,127454
"합계","노원구",2021,37909,133398
"합계","노원구",2022,38018,129198
"합계","노원구",2023,38439,130553
"합계","노원구",2024,38579,132355
"합계","은평구",2020,36273,108362
"합계","은평구",2021,36509,109031
"합계","은평구",2022,36430,107697
"합계","은평구",2023,36201,106043
"합계","은평구",2024,36093,107935
"합계","서대문구",2020,28769,120347
"합계","서대문구",2021,28522,118256
"합계","서대문구",2022,28427,119608
"합계","서대문구",2023,28401,118280
"합계","서대문구",2024,28468,117330
"합계","마포구",2020,58694,285083
"합계","마포구",2021,56782,279788
"합계","마포구",2022,55516,274678
"합계","마포구",2023,55741,283983
"합계","마포구",2024,56080,274900
"합계","양천구",2020,37183,130371
"합계","양천구",2021,37929,133776
"합계","양천구",2022,37774,133815
"합계","양천구",2023,38114,131733
"합계","양천구",2024,37760,130568
"합계","강서구",2020,58788,280238
"합계","강서구",2021,58806,290473
"합계","강서구",2022,59660,299324
"합계","강서구",2023,59969,306659
"합계","강서구",2024,60611,312532
"합계","구로구",2020,53547,239168
"합계","구로구",2021,52791,240689
"합계","구로구",2022,52988,242640
"합계","구로구",2023,51955,235229
"합계","구로구",2024,51832,232534
"합계","금천구",2020,47354,262665
"합계","금천구",2021,47964,255449
"합계","금천구",2022,48438,256316
"합계","금천구",2023,47935,256009
"합계","금천구",2024,48067,257675
"합계","영등포구",2020,74060,434698
"합계","영등포구",2021,74562,435017
"합계","영등포구",2022,75470,433237
"합계","영등포구",2023,74558,435180
"합계","영등포구",2024,74118,442395
"합계","동작구",2020,28505,110642
"합계","동작구",2021,27915,109281
"합계","동작구",2022,27120,107069
"합계","동작구",2023,27441,106667
"합계","동작구",2024,27532,109155
"합계","관악구",2020,38639,135681
"합계","관악구",2021,37915,128417
"합계","관악구",2022,36814,126395
"합계","관악구",2023,37689,126925
"합계","관악구",2024,37657,125747
"합계","서초구",2020,75858,497678
"합계","서초구",2021,71958,487976
"합계","서초구",2022,69975,492367
"합계","서초구",2023,70510,495335
"합계","서초구",2024,72068,493979
"합계","강남구",2020,115054,838446
"합계","강남구",2021,110007,801419
"합계","강남구",2022,107804,802908
"합계","강남구",2023,104299,772567
"합계","강남구",2024,101160,755251
"합계","송파구",2020,76412,411898
"합계","송파구",2021,74531,400781
"합계","송파구",2022,74738,409305
"합계","송파구",2023,74893,412433
"합계","송파구",2024,75957,418595
"합계","강동구",2020,40978,164769
"합계","강동구",2021,41660,157465
"합계","강동구",2022,43157,164833
"합계","강동구",2023,43358,162732
"합계","강동구",2024,43775,169270
