"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20254","11740","강동구","","07","125480431000","22612391000","2511143000","1368719000","22532253000","3619469000","6517311000","2269705000","35327090000","3849285000","24873065000"
"20254","11710","송파구","","08","335828162000","37816685000","7614482000","4007271000","41475672000","8314421000","10510816000","4129842000","163598016000","8231512000","50129445000"
"20254","11680","강남구","","09","2866952042000","37646156000","31240534000","5147742000","147911614000","24904940000","31596394000","8237674000","1624806426000","875171566000","80288996000"
"20254","11650","서초구","","09","638046416000","21727041000","5377514000","6494815000","70149357000","5854229000","11902349000","3870529000","286110024000","176716170000","49844388000"
"20254","11620","관악구","","06","115440723000","29355117000","2774908000","1366403000","19082178000","3278183000","13417497000","4231453000","7139685000","4474020000","30321279000"
"20254","11590","동작구","","07","177513770000","28144139000","1320119000","1794083000","20077095000","86033397000","4385849000","2100060000","4266891000","3837424000","25554713000"
"20254","11560","영등포구","","07","1981194239000","26685389000","4838068000","2873023000","28904192000","130737727000","3766051000","3666503000","1691338280000","41147808000","47237198000"
"20254","11545","금천구","","06","76418314000","15968928000","14006711000","1006560000","10257502000","3992915000","1455797000","1425163000","12858647000","1998675000","13447416000"
"20254","11530","구로구","","07","2124043697000","26185645000","1518517000","1811209000","25433008000","4593483000","3810751000","2262731000","2030787018000","4843827000","22797508000"
"20254","11500","강서구","","07","188832074000","32483989000","6703208000","2092641000","35346444000","35781119000","7049331000","3699571000","13462409000","16156200000","36057162000"
"20254","11470","양천구","","08","110766295000","25427472000","1252986000","1390235000","24181260000","6947285000","13036547000","1751837000","12112655000","3730715000","20935303000"
"20254","11440","마포구","","08","241875248000","29902250000","7465469000","2596637000","21447177000","3638554000","9381349000","6991477000","95285680000","9057656000","56108999000"
"20254","11410","서대문구","","07","133354237000","16530902000","1289934000","803060000","79085837000","3160728000","3931982000","1656760000","4165138000","3075531000","19654365000"
