"자치구별(1)","시점",용도지역총합계,도시지역,도시지역
"자치구별(1)","시점",소계,주거지역,상업지역
"서울시","2024",605748896,326143613,25829555
"종로구","2024",23972507,9830838,2937285
"중구","2024",9969741,6005614,3938992
"용산구","2024",21870000,11391721,1569913
"성동구","2024",16799152,9931676,483836
"광진구","2024",17087211,11603371,208967
"동대문구","2024",14251806,13037785,830940
"중랑구","2024",18531520,10806188,373145
"성북구","2024",24621422,17787802,400758
"강북구","2024",23636019,10880451,290728
"도봉구","2024",20839966,8716617,267953
"노원구","2024",35543308,14045011,472526
"은평구","2024",29788521,15356529,529912
"서대문구","2024",17685845,15439244,283546
"마포구","2024",23890251,13286201,946624
"양천구","2024",17469613,12536636,796830
"강서구","2024",41463249,14718284,1324125
"구로구","2024",20136328,10240299,542738
"금천구","2024",13012685,5845488,149622
"영등포구","2024",24354830,7978406,2642694
"동작구","2024",16387891,13776925,360637
"관악구","2024",29563482,15322132,395303
"서초구","2024",46962563,19018219,1343705
"강남구","2024",39497452,24189066,1677377
"송파구","2024",33857302,21450540,2363811
"강동구","2024",24556232,12948570,697588
