"자치구별(1)","자치구별(2)",시점,용도지역총합계,용도지역총합계,용도지역총합계
"자치구별(1)","자치구별(2)",시점,소계,주거지역,상업지역
"서울시","소계",2020,605598290,326043340,25599274
"서울시","소계",2021,605598290,326570286,25669524
"서울시","소계",2022,605598290,326377542,25769817
"서울시","소계",2023,605598290,326503779,25649044
"서울시","종로구",2020,23972507,9830838,2937285
"서울시","종로구",2021,23972507,9830838,2937285
"서울시","종로구",2022,23972507,9830838,2937285
"서울시","종로구",2023,23972507,9830838,2937285
"서울시","중구",2020,9974292,6037439,3911718
"서울시","중구",2021,9974292,6037439,3911718
"서울시","중구",2022,9974292,6013132,3936025
"서울시","중구",2023,9974292,6013132,3936025
"서울시","용산구",2020,21898766,12107810,1260795
"서울시","용산구",2021,21898766,12194627,1260795
"서울시","용산구",2022,21898766,12181023,1274398
"서울시","용산구",2023,21898766,12181023,1274398
"서울시","성동구",2020,16804426,9947641,473145
"서울시","성동구",2021,16804426,9936848,483938
"서울시","성동구",2022,16804426,9931728,489058
"서울시","성동구",2023,16804426,9931728,489058
"서울시","광진구",2020,17075115,11596961,203281
"서울시","광진구",2021,17075115,11593626,206616
"서울시","광진구",2022,17075115,11593626,206616
"서울시","광진구",2023,17075115,11593626,206616
"서울시","동대문구",2020,14245433,13034193,828159
"서울시","동대문구",2021,14245433,13034193,828159
"서울시","동대문구",2022,14245433,13041354,820999
"서울시","동대문구",2023,14245433,13036995,825357
"서울시","중랑구",2020,18531520,10821891,357442
"서울시","중랑구",2021,18531520,10812136,367198
"서울시","중랑구",2022,18531520,10808521,370813
"서울시","중랑구",2023,18531520,10808521,370813
"서울시","성북구",2020,24621432,17829610,397229
"서울시","성북구",2021,24621432,17828087,398752
"서울시","성북구",2022,24621432,17826125,400714
"서울시","성북구",2023,24621432,17826125,400714
"서울시","강북구",2020,23636019,10979002,272237
"서울시","강북구",2021,23636019,10898942,272237
"서울시","강북구",2022,23636019,10890430,280749
"서울시","강북구",2023,23636019,10890430,280749
"서울시","도봉구",2020,20679052,8089653,258659
"서울시","도봉구",2021,20679052,8089653,258659
"서울시","도봉구",2022,20679052,8095692,258659
"서울시","도봉구",2023,20679052,8095692,258659
"서울시","노원구",2020,35595942,13978881,590480
"서울시","노원구",2021,35595942,13965787,603574
"서울시","노원구",2022,35595942,13965787,603574
"서울시","노원구",2023,35595942,14093944,475417
"서울시","은평구",2020,29788522,15365100,521342
"서울시","은평구",2021,29788522,15356530,529912
"서울시","은평구",2022,29788522,15356530,529912
"서울시","은평구",2023,29788522,15356530,529912
"서울시","서대문구",2020,17685973,15439372,283546
"서울시","서대문구",2021,17685973,15439372,283546
"서울시","서대문구",2022,17685973,15437826,285092
"서울시","서대문구",2023,17685973,15437826,285092
"서울시","마포구",2020,23890251,13391126,940188
"서울시","마포구",2021,23890251,13389995,941319
"서울시","마포구",2022,23890251,13286201,946624
"서울시","마포구",2023,23890251,13286201,946624
"서울시","양천구",2020,17469613,12536636,796830
"서울시","양천구",2021,17469613,12536636,796830
"서울시","양천구",2022,17469613,12536636,796830
"서울시","양천구",2023,17469613,12536636,796830
"서울시","강서구",2020,41462488,14717824,1323788
"서울시","강서구",2021,41462488,14712457,1329155
"서울시","강서구",2022,41462488,14714586,1327026
"서울시","강서구",2023,41462488,14714586,1327026
"서울시","구로구",2020,20136328,10269448,513589
"서울시","구로구",2021,20136328,10269486,513589
"서울시","구로구",2022,20136328,10269486,513589
"서울시","구로구",2023,20136328,10266784,516291
"서울시","금천구",2020,13012685,5845488,149622
"서울시","금천구",2021,13012685,5845488,149622
"서울시","금천구",2022,13012685,5844151,150959
"서울시","금천구",2023,13012685,5844151,150959
"서울시","영등포구",2020,24354829,8013839,2607260
"서울시","영등포구",2021,24354829,8010072,2611027
"서울시","영등포구",2022,24354829,8005840,2615259
"서울시","영등포구",2023,24354829,8005840,2615259
"서울시","동작구",2020,16387882,13792930,344623
"서울시","동작구",2021,16387882,13791504,346049
"서울시","동작구",2022,16387882,13776916,360637
"서울시","동작구",2023,16387882,13776916,360637
"서울시","관악구",2020,29563482,15325411,392024
"서울시","관악구",2021,29563482,15325411,392024
"서울시","관악구",2022,29563482,15323632,393803
"서울시","관악구",2023,29563482,15323632,393803
"서울시","서초구",2020,46899887,18885147,1322182
"서울시","서초구",2021,46899887,19009141,1329783
"서울시","서초구",2022,46899887,19005773,1333152
"서울시","서초구",2023,46899887,19005773,1333152
"서울시","강남구",2020,39497268,24228249,1946139
"서울시","강남구",2021,39497268,24227238,1947150
"서울시","강남구",2022,39497268,24224319,1950069
"서울시","강남구",2023,39497268,24229460,1950392
"서울시","송파구",2020,33858375,21013419,2287015
"서울시","송파구",2021,33858375,21472225,2287015
"서울시","송파구",2022,33858375,21472225,2287015
"서울시","송파구",2023,33858375,21472225,2287015
"서울시","강동구",2020,24556203,12965432,680697
"서울시","강동구",2021,24556203,12962557,683572
"서울시","강동구",2022,24556203,12945168,700961
"서울시","강동구",2023,24556203,12945168,700961
