번호,자치구,2020,2021,2022,2023,2024
,계,128144,137882,117753,124326,113691
1,종로구,11675,15535,17064,20268,22243
2,중구,6865,11434,6990,9012,9189
3,용산구,1398,1042,977,645,588
4,성동구,811,1546,1140,1535,3087
5,광진구,2787,3749,2532,2171,1409
6,동대문구,4666,6001,3304,6674,6880
7,중랑구,6043,7194,4270,2474,2949
8,성북구,674,399,1445,637,764
9,강북구,9747,5522,2827,2807,2174
10,도봉구,1295,782,672,971,1555
11,노원구,3707,1735,2587,3853,2213
12,은평구,3552,4386,4758,7025,4831
13,서대문구,2521,2522,1644,5077,3773
14,마포구,4113,4709,4674,4611,2835
15,양천구,1397,1504,1366,1099,888
16,강서구,362,402,507,1844,515
17,구로구,2772,6637,4891,3891,4341
18,금천구,2228,3926,2709,1633,1722
19,영등포구,5325,2808,2779,4588,2803
20,동작구,2727,1606,1643,1261,1568
21,관악구,6151,5908,3924,5158,5508
22,서초구,11031,9655,11224,11935,9003
23,강남구,22467,22540,16987,11597,11462
24,송파구,5548,7063,6343,5384,4345
25,강동구,8282,9277,10496,8176,7046
